variant_and_allele,p_value,trait,gene,location
rs7264688-<b>T</b>,4.9999999999999996e-06,alzheimer disease,OVOL2,20:17974063
rs10953322-<b>?</b>,4.9999999999999996e-06,alzheimer disease,SERPINE1,7:101103377
rs10953322-<b>?</b>,4.9999999999999996e-06,alzheimer disease,TRIM56,7:101103377
rs11848070-<b>C</b>,6e-06,alzheimer disease,PCNX1,14:71040884
rs191707442-<b>T</b>,6e-06,late-onset alzheimers disease,PPP1R3B,8:9182000
rs150269952-<b>T</b>,6e-06,late-onset alzheimers disease,RASSF5,1:206526352
rs905450-<b>?</b>,6e-06,alzheimer disease,EFL1,15:82152096
rs3826656-<b>?</b>,6e-06,alzheimer disease,CD33,19:51223357
rs3826656-<b>?</b>,6e-06,alzheimer disease,SIGLEC22P,19:51223357
rs184614511-<b>T</b>,6e-06,late-onset alzheimers disease,KSR2,12:117861676
rs199499-<b>C</b>,6e-06,alzheimer disease,WNT3,17:46788132
rs1923775-<b>T</b>,6e-06,alzheimer disease,POLN,4:2101369
rs1923775-<b>T</b>,6e-06,alzheimer disease,HAUS3,4:2101369
rs6945197-<b>T</b>,6e-06,late-onset alzheimers disease,ZP3P2,7:136477062
rs6945197-<b>T</b>,6e-06,late-onset alzheimers disease,PLXNA4,7:136477062
rs2876189-<b>G</b>,6e-06,alzheimer disease,OFCC1,6:10101984
rs115972394-<b>A</b>,6e-06,late-onset alzheimers disease,ATP6V0E2,7:149924921
rs12716755-<b>A</b>,6e-06,late-onset alzheimers disease,USP10,16:84699678
rs12716755-<b>A</b>,6e-06,late-onset alzheimers disease,KLHL36,16:84699678
rs187295598-<b>T</b>,6e-06,late-onset alzheimers disease,GPR180,13:94628579
rs59406683-<b>A</b>,6e-06,alzheimer disease,UNKNOWN,7:110142514
rs145840463-<b>A</b>,6e-06,late-onset alzheimers disease,CFAP74,1:1950293
rs4509693-<b>?</b>,6e-06,alzheimer disease,PAX2,10:100741814
rs186588455-<b>A</b>,6e-06,late-onset alzheimers disease,MRPL45,17:38287606
rs186588455-<b>A</b>,6e-06,late-onset alzheimers disease,NPEPPSP1,17:38287606
rs2244526-<b>T</b>,6e-06,late-onset alzheimers disease,SELP,1:169617708
rs11038990-<b>?</b>,6e-06,late-onset alzheimers disease,CKAP5,11:46783211
rs192098867-<b>?</b>,7e-06,late-onset alzheimers disease,TRPM1,15:31149558
rs10807828-<b>C</b>,7e-06,alzheimer disease,UNKNOWN,7:25528235
rs2234017-<b>C</b>,7e-06,late-onset alzheimers disease,TAS2R5,7:141791266
rs11613092-<b>G</b>,7e-06,alzheimer disease,SUDS3,12:118455443
rs115078773-<b>A</b>,7e-06,late-onset alzheimers disease,TMCO4,1:19693032
rs4073601-<b>G</b>,7e-06,alzheimer disease,LINC00899,22:46038806
rs4073601-<b>G</b>,7e-06,alzheimer disease,WNT7B,22:46038806
rs186076999-<b>T</b>,7e-06,late-onset alzheimers disease,UNKNOWN,9:20013543
rs1129187-<b>T</b>,7e-06,alzheimer disease,PEX6,6:42964462
rs148587130-<b>T</b>,7e-06,late-onset alzheimers disease,NEK10,3:27236975
rs190217640-<b>?</b>,7e-06,late-onset alzheimers disease,NEGR1,1:71755908
rs145228677-<b>C</b>,7e-06,late-onset alzheimers disease,RPS18P12,17:14641688
rs4937314-<b>C</b>,7e-06,alzheimer disease,LINC02098,11:128319206
rs79926713-<b>T</b>,8e-06,late-onset alzheimers disease,SYNGAP1,6:33427745
rs184457411-<b>A</b>,8e-06,late-onset alzheimers disease,SHANK2,11:70820116
rs7155434-<b>A</b>,8e-06,alzheimer disease,NRXN3,14:78308963
rs73215707-<b>T</b>,8e-06,late-onset alzheimers disease,CYRIA,2:16736702
rs41458646-<b>G</b>,8e-06,alzheimer disease,UNKNOWN,2:23016071
rs75045569-<b>T</b>,8e-06,alzheimer disease,EPHA1-AS1,7:143412115
rs61310603-<b>T</b>,8e-06,alzheimer disease,UNKNOWN,10:128547890
rs113884973-<b>C</b>,8e-06,late-onset alzheimers disease,UNKNOWN,2:53256902
rs340849-<b>?</b>,8e-06,alzheimer disease,PROX1-AS1,1:213944747
rs114179644-<b>T</b>,8e-06,late-onset alzheimers disease,CPSF6,12:69160349
rs10060040-<b>A</b>,8e-06,late-onset alzheimers disease,ADGRV1,5:11930025
rs10060040-<b>A</b>,8e-06,late-onset alzheimers disease,CTNND2,5:11930025
rs78538083-<b>C</b>,8e-06,alzheimer disease,IL21-AS1,4:122647254
rs141104697-<b>A</b>,8e-06,late-onset alzheimers disease,GTF2H3,12:123635804
rs144216026-<b>A</b>,8e-06,late-onset alzheimers disease,ABCA8,17:68920354
rs186542490-<b>A</b>,8e-06,late-onset alzheimers disease,UNKNOWN,6:78644638
rs7260181-<b>T</b>,8e-06,late-onset alzheimers disease,PPP5D1,19:46595170
rs17022021-<b>T</b>,8e-06,late-onset alzheimers disease,RBMS3,3:28837197
rs185126971-<b>A</b>,8e-06,late-onset alzheimers disease,ERO1A,14:52702250
rs185126971-<b>A</b>,8e-06,late-onset alzheimers disease,PSMC6,14:52702250
rs17767225-<b>T</b>,8e-06,alzheimer disease,FOXN3,14:71199580
rs17767225-<b>T</b>,8e-06,alzheimer disease,PCNX1,14:71199580
rs75770912-<b>A</b>,8e-06,late-onset alzheimers disease,AOX1,2:200653321
rs61233297-<b>A</b>,8e-06,late-onset alzheimers disease,IQGAP2,5:76567335
rs2271920-<b>A</b>,8e-06,alzheimer disease,PTK2B,8:27458600
rs9390537-<b>?</b>,8e-06,alzheimer disease,UNKNOWN,6:148102235
rs181634374-<b>T</b>,8e-06,late-onset alzheimers disease,RPL23AP44,5:121563422
rs4760243-<b>A</b>,8e-06,late-onset alzheimers disease,LINC02388,12:58828030
rs4760243-<b>A</b>,8e-06,late-onset alzheimers disease,LRIG3,12:58828030
rs146997164-<b>C</b>,9e-06,late-onset alzheimers disease,OR7E39P,7:6830481
rs146997164-<b>C</b>,9e-06,late-onset alzheimers disease,CCZ1B,7:6830481
rs71636213-<b>G</b>,9e-06,alzheimer disease,SERINC5,5:80285949
rs71636213-<b>G</b>,9e-06,alzheimer disease,KRT18P45,5:80285949
rs12044355-<b>?</b>,9e-06,alzheimer disease,TSNAX-DISC1,1:231708601
rs12044355-<b>?</b>,9e-06,alzheimer disease,DISC1,1:231708601
rs956225-<b>A</b>,9e-06,alzheimer disease,HAS2-AS1,8:121897448
rs11889338-<b>A</b>,9e-06,alzheimer disease,ZFYVE9P2,2:17246318
rs10273775-<b>G</b>,9e-06,alzheimer disease,CNTNAP2,7:147200311
rs117756856-<b>A</b>,9e-06,late-onset alzheimers disease,HDAC9,7:18212452
rs149839710-<b>A</b>,9e-06,late-onset alzheimers disease,KIFC3,16:57869386
rs149839710-<b>A</b>,9e-06,late-onset alzheimers disease,CNGB1,16:57869386
rs1357692-<b>?</b>,9e-06,alzheimer disease,DHFRP3,2:107062032
rs201850688-<b>G</b>,9e-06,late-onset alzheimers disease,BSG,19:572671
rs112920270-<b>A</b>,9e-06,late-onset alzheimers disease,STK31,7:23931916
rs147582129-<b>T</b>,9e-06,late-onset alzheimers disease,FAT3,11:92422052
rs185170954-<b>A</b>,9e-06,late-onset alzheimers disease,SEMA3A,7:83870966
rs116530595-<b>T</b>,9e-06,late-onset alzheimers disease,TXN,9:110213589
rs116530595-<b>T</b>,9e-06,late-onset alzheimers disease,C9orf152,9:110213589
rs283814-<b>G</b>,9e-06,alzheimer disease,NECTIN2,19:44885967
rs141846544-<b>T</b>,9e-06,late-onset alzheimers disease,RNU6-1213P,8:80432793
rs141846544-<b>T</b>,9e-06,late-onset alzheimers disease,Y_RNA,8:80432793
rs6085820-<b>A</b>,9e-06,alzheimer disease,UNKNOWN,20:6999988
rs71316816-<b>C</b>,9e-06,alzheimer disease,CADM2,3:85855884
rs186891871-<b>C</b>,9e-06,late-onset alzheimers disease,ADGRL2,1:81589710
