variant_and_allele,p_value,trait,gene,location,af,tissues
rs538867-<b>?</b>,1e-07,alzheimer disease,MOBP,3:39471787,-1.0,Nerve_Tibial
rs150631144-<b>T</b>,1e-07,late-onset alzheimers disease,RNU6-909P,5:28577827,0.0063179347826086965,
rs17169634-<b>?</b>,1e-07,alzheimer disease,BMPER,7:34054385,-1.0,Brain_Cerebellar_Hemisphere&Brain_Cerebellum
rs10498633-<b>T</b>,1e-07,alzheimer disease,SLC24A4,14:92460608,0.20597855978077328,
rs11828907-<b>C</b>,2e-07,late-onset alzheimers disease,AHNAK,11:62521506,0.0010829368325249713,
rs1476679-<b>C</b>,2e-07,alzheimer disease,ZCWPW1,7:100406823,0.2789546422583715,Brain_Caudate_basal_ganglia&Artery_Tibial&Brain_Cerebellar_Hemisphere&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Skin_Not_Sun_Exposed_Suprapubic&Ovary&Brain_Cortex&Adipose_Subcutaneous&Brain_Hippocampus&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Liver&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Brain_Substantia_nigra&Brain_Amygdala&Whole_Blood&Brain_Cerebellum&Brain_Putamen_basal_ganglia&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Muscle_Skeletal&Spleen&Esophagus_Mucosa&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Brain_Frontal_Cortex_BA9&Nerve_Tibial&Pituitary&Pancreas&Brain_Hypothalamus
rs7274581-<b>C</b>,2e-07,alzheimer disease,CASS4,20:56443204,0.0944242034576368,
rs137869973-<b>T</b>,2e-07,late-onset alzheimers disease,KCTD9P6,8:31236084,0.07744838538909476,
rs340635-<b>?</b>,2e-07,alzheimer disease,AFF1,4:87010252,-1.0,Cells_Cultured_fibroblasts&Brain_Cerebellum
rs62209-<b>C</b>,2e-07,alzheimer disease,CELF2,10:10958376,-1.0,
rs1861525-<b>?</b>,2e-07,alzheimer disease,CYCS,7:25121983,-1.0,
rs184179037-<b>?</b>,2e-07,alzheimer disease,WDR70,5:37483838,-1.0,
rs476428-<b>G</b>,2e-07,alzheimer disease,ACSL6,5:131965922,0.866530693463337,Brain_Caudate_basal_ganglia&Artery_Tibial&Brain_Cerebellar_Hemisphere&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Skin_Not_Sun_Exposed_Suprapubic&Brain_Cortex&Adipose_Subcutaneous&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Liver&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Whole_Blood&Brain_Putamen_basal_ganglia&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Spleen&Muscle_Skeletal&Esophagus_Mucosa&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Brain_Frontal_Cortex_BA9&Nerve_Tibial&Pituitary&Pancreas&Brain_Cerebellum&Small_Intestine_Terminal_Ileum
rs382216-<b>C</b>,2e-07,alzheimer disease,CDC42SE2,5:131351444,0.760189109879361,Heart_Atrial_Appendage&Brain_Cortex&Adipose_Subcutaneous&Whole_Blood&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Spleen&Artery_Tibial&Nerve_Tibial&Colon_Sigmoid&Adrenal_Gland&Brain_Nucleus_accumbens_basal_ganglia&Breast_Mammary_Tissue&Brain_Cerebellum&Muscle_Skeletal
rs2573905-<b>?</b>,2e-07,alzheimer disease,PCDH11X,X:92147221,-1.0,
rs440277-<b>G</b>,2e-07,alzheimer disease,NECTIN2,19:44857967,0.6917962453778326,
rs2298369-<b>?</b>,3e-07,alzheimer disease,MIR155HG,21:25583969,-1.0,
rs2298369-<b>?</b>,3e-07,alzheimer disease,MRPL39,21:25583969,-1.0,
rs11610206-<b>?</b>,3e-07,alzheimer disease,PCED1B,12:47245743,-1.0,
rs11610206-<b>?</b>,3e-07,alzheimer disease,PPIAP45,12:47245743,-1.0,
rs2456930-<b>G</b>,3e-07,alzheimer disease,TLN2,15:62395140,-1.0,
rs147845115-<b>?</b>,3e-07,alzheimer disease,SLC4A8,12:51484976,-1.0,
rs35868327-<b>T</b>,3e-07,late-onset alzheimers disease,UNKNOWN,5:53369400,0.9837935174069627,
rs71618613-<b>A</b>,3e-07,late-onset alzheimers disease,LINC02109,5:29005878,0.9834288692027098,
rs6678275-<b>C</b>,3e-07,alzheimer disease,UNKNOWN,1:193656103,0.09846666666666666,
rs7295246-<b>G</b>,3e-07,alzheimer disease,ADAMTS20,12:43573874,0.3908417151932239,
rs7295246-<b>G</b>,3e-07,alzheimer disease,EEF1A1P17,12:43573874,0.3908417151932239,
rs2337406-<b>C</b>,3e-07,alzheimer disease,IGHV3-71,14:106772332,0.9691973415132924,
rs2337406-<b>C</b>,3e-07,alzheimer disease,IGHV2-70,14:106772332,0.9691973415132924,
rs8035452-<b>T</b>,3e-07,alzheimer disease,SPPL2A,15:50748601,0.6405935677190738,
chr17:61538148-<b>A</b>,3e-07,alzheimer disease,UNKNOWN,1:61538148,-1.0,
rs11708767-<b>A</b>,3e-07,alzheimer disease,MED12L,3:151401938,0.3920233463035019,Artery_Coronary&Artery_Tibial&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Skin_Not_Sun_Exposed_Suprapubic&Adipose_Subcutaneous&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Whole_Blood&Skin_Sun_Exposed_Lower_leg&Spleen&Esophagus_Mucosa&Prostate&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Nerve_Tibial&Pituitary&Pancreas&Small_Intestine_Terminal_Ileum
rs142958719-<b>G</b>,3e-07,alzheimer disease,MEIKIN,5:131897266,0.7907981423479857,Brain_Caudate_basal_ganglia&Artery_Tibial&Brain_Cerebellar_Hemisphere&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Skin_Not_Sun_Exposed_Suprapubic&Brain_Cortex&Adipose_Subcutaneous&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Liver&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Whole_Blood&Brain_Putamen_basal_ganglia&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Spleen&Muscle_Skeletal&Esophagus_Mucosa&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Brain_Frontal_Cortex_BA9&Nerve_Tibial&Pituitary&Pancreas&Brain_Cerebellum&Small_Intestine_Terminal_Ileum
rs74006954-<b>?</b>,3e-07,alzheimer disease,GABRG3,15:27467498,-1.0,
rs3748140-<b>?</b>,3e-07,alzheimer disease,PPP1R3B,8:9141509,-1.0,Testis
rs28868104-<b>?</b>,4e-07,alzheimer disease,UNKNOWN,3:104241993,-1.0,
rs9934540-<b>?</b>,4e-07,alzheimer disease,VAT1L,16:77842866,-1.0,
rs146579248-<b>?</b>,4e-07,alzheimer disease,LINC01184,5:128046610,-1.0,
rs62402815-<b>?</b>,4e-07,alzheimer disease,LNC-LBCS,6:19350484,-1.0,
rs115550680-<b>?</b>,4e-07,alzheimer disease,ABCA7,19:1050421,-1.0,
rs10467994-<b>T</b>,4e-07,late-onset alzheimers disease,SPPL2A,15:50716490,0.6761778718898889,
rs2666895-<b>?</b>,4e-07,alzheimer disease,MIR7154,11:45689480,-1.0,
rs2666895-<b>?</b>,4e-07,alzheimer disease,CHST1,11:45689480,-1.0,
rs249153-<b>C</b>,4e-07,alzheimer disease,NDUFA12,12:94930613,0.2078014685570752,
rs758324-<b>T</b>,4e-07,alzheimer disease,FNIP1,5:131773852,0.7255338078291815,Brain_Caudate_basal_ganglia&Artery_Tibial&Brain_Cerebellar_Hemisphere&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Skin_Not_Sun_Exposed_Suprapubic&Brain_Cortex&Adipose_Subcutaneous&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Liver&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Whole_Blood&Brain_Putamen_basal_ganglia&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Spleen&Muscle_Skeletal&Esophagus_Mucosa&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Brain_Frontal_Cortex_BA9&Nerve_Tibial&Pituitary&Pancreas&Brain_Cerebellum&Small_Intestine_Terminal_Ileum
rs181696879-<b>A</b>,4e-07,late-onset alzheimers disease,MCPH1-AS1,8:6680850,0.9990726690271456,
rs1399439-<b>?</b>,4e-07,alzheimer disease,ANO4,12:100827461,-1.0,
rs74615166-<b>C</b>,4e-07,alzheimer disease,TRIP4,15:64433291,0.019523494374586368,
rs147150305-<b>A</b>,4e-07,late-onset alzheimers disease,PLCL1,2:198252846,0.9963245492371706,
rs9516245-<b>?</b>,4e-07,alzheimer disease,GPC6,13:93507547,-1.0,
rs7225151-<b>A</b>,4e-07,alzheimer disease,SCIMP,17:5233752,0.12289112150931347,
rs7225151-<b>A</b>,4e-07,alzheimer disease,ZNF594-DT,17:5233752,0.12289112150931347,
rs3745495-<b>?</b>,4e-07,alzheimer disease,VRK3,19:50021075,-1.0,
rs78647349-<b>?</b>,5e-07,alzheimer disease,STK32B,4:5235426,-1.0,
rs7009219-<b>?</b>,5e-07,alzheimer disease,ST18,8:52301705,-1.0,
rs72840936-<b>C</b>,5e-07,late-onset alzheimers disease,STEAP3-AS1,2:119266116,0.03403917416622552,Adipose_Subcutaneous
rs9271192-<b>?</b>,5e-07,alzheimer disease,HLA-DRB1,6:32610753,-1.0,Artery_Coronary&Brain_Caudate_basal_ganglia&Artery_Tibial&Brain_Cerebellar_Hemisphere&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Minor_Salivary_Gland&Skin_Not_Sun_Exposed_Suprapubic&Ovary&Brain_Cortex&Adipose_Subcutaneous&Brain_Hippocampus&Cells_EBV-transformed_lymphocytes&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Liver&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Uterus&Brain_Substantia_nigra&Kidney_Cortex&Brain_Amygdala&Whole_Blood&Brain_Spinal_cord_cervical_c-1&Brain_Cerebellum&Brain_Anterior_cingulate_cortex_BA24&Brain_Putamen_basal_ganglia&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Muscle_Skeletal&Spleen&Esophagus_Mucosa&Prostate&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Brain_Frontal_Cortex_BA9&Nerve_Tibial&Pituitary&Pancreas&Vagina&Brain_Hypothalamus&Small_Intestine_Terminal_Ileum
rs9271192-<b>?</b>,5e-07,alzheimer disease,HLA-DQA1,6:32610753,-1.0,Artery_Coronary&Brain_Caudate_basal_ganglia&Artery_Tibial&Brain_Cerebellar_Hemisphere&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Minor_Salivary_Gland&Skin_Not_Sun_Exposed_Suprapubic&Ovary&Brain_Cortex&Adipose_Subcutaneous&Brain_Hippocampus&Cells_EBV-transformed_lymphocytes&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Liver&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Uterus&Brain_Substantia_nigra&Kidney_Cortex&Brain_Amygdala&Whole_Blood&Brain_Spinal_cord_cervical_c-1&Brain_Cerebellum&Brain_Anterior_cingulate_cortex_BA24&Brain_Putamen_basal_ganglia&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Muscle_Skeletal&Spleen&Esophagus_Mucosa&Prostate&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Brain_Frontal_Cortex_BA9&Nerve_Tibial&Pituitary&Pancreas&Vagina&Brain_Hypothalamus&Small_Intestine_Terminal_Ileum
rs144573434-<b>T</b>,5e-07,late-onset alzheimers disease,UNKNOWN,9:81079667,0.99993399339934,
rs75617873-<b>?</b>,5e-07,alzheimer disease,PARVB,22:44130225,-1.0,
rs79537509-<b>?</b>,5e-07,alzheimer disease,LINC02152,16:8238399,-1.0,
rs115816806-<b>?</b>,5e-07,alzheimer disease,ACER3,11:76830796,-1.0,
rs115816806-<b>?</b>,5e-07,alzheimer disease,TSKU,11:76830796,-1.0,
rs11770757-<b>?</b>,5e-07,alzheimer disease,EXOC4,7:134063193,-1.0,Artery_Coronary
rs56249755-<b>A</b>,5e-07,late-onset alzheimers disease,FAM240B,9:38711009,0.9876654314452092,
rs78358979-<b>A</b>,5e-07,alzheimer disease,UNKNOWN,6:86795185,0.029773897470338036,
rs72842919-<b>A</b>,5e-07,late-onset alzheimers disease,RPS20P10,2:71938176,0.9727735368956744,
rs141976661-<b>A</b>,5e-07,late-onset alzheimers disease,LINC00624,1:147483513,0.9876498176133404,
rs16847609-<b>A</b>,5e-07,alzheimer disease,HSPA8P9,3:137931894,0.0897357119480641,
rs16847609-<b>A</b>,5e-07,alzheimer disease,CLDN18,3:137931894,0.0897357119480641,
rs115684722-<b>?</b>,6e-07,alzheimer disease,RN7SL299P,1:232240417,-1.0,
rs118048115-<b>?</b>,6e-07,alzheimer disease,PLPP4,10:120519964,-1.0,
rs116050881-<b>T</b>,6e-07,late-onset alzheimers disease,LINC01725,1:29684252,0.0006990074094785407,
rs117780815-<b>?</b>,6e-07,alzheimer disease,NKAIN2,6:124005082,-1.0,
rs56009889-<b>?</b>,6e-07,late-onset alzheimers disease,ATM,11:108326169,-1.0,
rs56009889-<b>?</b>,6e-07,late-onset alzheimers disease,C11orf65,11:108326169,-1.0,
rs9381040-<b>C</b>,6e-07,alzheimer disease,TREML2,6:41186912,0.7005752966629516,Artery_Coronary&Brain_Caudate_basal_ganglia&Artery_Tibial&Brain_Cerebellar_Hemisphere&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Skin_Not_Sun_Exposed_Suprapubic&Brain_Cortex&Adipose_Subcutaneous&Brain_Hippocampus&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Liver&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Brain_Substantia_nigra&Whole_Blood&Brain_Spinal_cord_cervical_c-1&Brain_Anterior_cingulate_cortex_BA24&Brain_Putamen_basal_ganglia&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Spleen&Muscle_Skeletal&Esophagus_Mucosa&Prostate&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Brain_Frontal_Cortex_BA9&Nerve_Tibial&Pituitary&Pancreas&Brain_Cerebellum&Small_Intestine_Terminal_Ileum
rs9381040-<b>C</b>,6e-07,alzheimer disease,TREM2,6:41186912,0.7005752966629516,Artery_Coronary&Brain_Caudate_basal_ganglia&Artery_Tibial&Brain_Cerebellar_Hemisphere&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Skin_Not_Sun_Exposed_Suprapubic&Brain_Cortex&Adipose_Subcutaneous&Brain_Hippocampus&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Liver&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Brain_Substantia_nigra&Whole_Blood&Brain_Spinal_cord_cervical_c-1&Brain_Anterior_cingulate_cortex_BA24&Brain_Putamen_basal_ganglia&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Spleen&Muscle_Skeletal&Esophagus_Mucosa&Prostate&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Brain_Frontal_Cortex_BA9&Nerve_Tibial&Pituitary&Pancreas&Brain_Cerebellum&Small_Intestine_Terminal_Ileum
rs690705-<b>?</b>,6e-07,alzheimer disease,VDAC1P12,13:34080781,-1.0,
rs3752246-<b>G</b>,6e-07,alzheimer disease,ABCA7,19:1056493,0.15754550792718733,
rs6890695-<b>G</b>,6e-07,alzheimer disease,RAPGEF6,5:131552731,0.7646903123345685,Brain_Caudate_basal_ganglia&Artery_Tibial&Brain_Cerebellar_Hemisphere&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Skin_Not_Sun_Exposed_Suprapubic&Brain_Cortex&Adipose_Subcutaneous&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Liver&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Whole_Blood&Brain_Putamen_basal_ganglia&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Spleen&Muscle_Skeletal&Esophagus_Mucosa&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Brain_Frontal_Cortex_BA9&Nerve_Tibial&Pituitary&Pancreas&Brain_Cerebellum&Small_Intestine_Terminal_Ileum
rs10751667-<b>T</b>,6e-07,alzheimer disease,AP2A2,11:941941,0.6304923239809423,
rs7232-<b>?</b>,6e-07,late-onset alzheimers disease,MS4A6A,11:60173126,-1.0,
rs13178362-<b>T</b>,7e-07,alzheimer disease,HPRT1P2,5:30178906,0.8406428134677213,
rs326946-<b>?</b>,7e-07,alzheimer disease,ARHGAP20,11:110628530,-1.0,
rs75847378-<b>?</b>,7e-07,alzheimer disease,SLC8A1-AS1,2:39954377,-1.0,Esophagus_Mucosa
rs4836694-<b>?</b>,7e-07,alzheimer disease,NCS1,9:130177513,-1.0,
rs72807343-<b>T</b>,7e-07,alzheimer disease,SQSTM1,5:179811261,0.016360771227289586,Skin_Not_Sun_Exposed_Suprapubic&Esophagus_Gastroesophageal_Junction&Artery_Tibial&Nerve_Tibial&Skin_Sun_Exposed_Lower_leg
rs73660619-<b>?</b>,8e-07,alzheimer disease,CSMD1,8:3230651,-1.0,
rs144998240-<b>A</b>,8e-07,late-onset alzheimers disease,COL25A1,4:109251730,0.0010402219140083217,
rs62179067-<b>T</b>,8e-07,late-onset alzheimers disease,SESTD1,2:179270456,0.9364743250397036,Thyroid&Artery_Tibial&Brain_Cerebellum&Lung
rs12361953-<b>C</b>,8e-07,alzheimer disease,LUZP2,11:24589584,0.9202647134412748,
rs142835438-<b>A</b>,8e-07,late-onset alzheimers disease,ZBTB10,8:80555470,0.0024271844660194173,
rs142835438-<b>A</b>,8e-07,late-onset alzheimers disease,RPSAP47,8:80555470,0.0024271844660194173,
rs7313581-<b>T</b>,8e-07,late-onset alzheimers disease,KRAS,12:25269783,0.2190095691455773,
rs182921547-<b>?</b>,8e-07,late-onset alzheimers disease,UNKNOWN,4:32832588,-1.0,
rs143954261-<b>?</b>,8e-07,alzheimer disease,MEGF10,5:127393758,-1.0,Nerve_Tibial&Muscle_Skeletal
rs10850408-<b>?</b>,9.000000000000001e-07,alzheimer disease,UNKNOWN,12:114942588,-1.0,
rs71380849-<b>A</b>,9.000000000000001e-07,alzheimer disease,CDR2L,17:74979653,0.018499218342886918,
rs71380849-<b>A</b>,9.000000000000001e-07,alzheimer disease,HID1-AS1,17:74979653,0.018499218342886918,
rs2633682-<b>?</b>,9.000000000000001e-07,alzheimer disease,UNKNOWN,3:104690364,-1.0,
rs2421847-<b>?</b>,9.000000000000001e-07,alzheimer disease,PRRC2C,1:171588461,-1.0,
rs168193-<b>?</b>,9.000000000000001e-07,alzheimer disease,RN7SL553P,3:5260392,-1.0,
rs7153315-<b>C</b>,9.000000000000001e-07,alzheimer disease,IGHG1,14:105729382,0.6940825789357474,
rs7153315-<b>C</b>,9.000000000000001e-07,alzheimer disease,IGHEP1,14:105729382,0.6940825789357474,
rs115798104-<b>A</b>,9.000000000000001e-07,late-onset alzheimers disease,MECOM,3:169273046,0.9994514536478332,
rs116348108-<b>?</b>,9.000000000000001e-07,alzheimer disease,DMXL1,5:119099432,-1.0,Thyroid
rs912322-<b>A</b>,1e-06,alzheimer disease,MYO16,13:109155938,0.7336179095027996,
rs4145462-<b>T</b>,1e-06,alzheimer disease,MPZL1,1:167749262,-1.0,
rs3820443-<b>T</b>,1e-06,late-onset alzheimers disease,PIFO,1:111350283,0.6819819428769859,Lung
rs474951-<b>T</b>,1e-06,alzheimer disease,MS4A2,11:60071148,0.704134801243802,
rs474951-<b>T</b>,1e-06,alzheimer disease,MS4A3,11:60071148,0.704134801243802,
rs921390-<b>T</b>,1e-06,late-onset alzheimers disease,UNKNOWN,5:4515659,0.002912621359223301,
rs7539409-<b>?</b>,1e-06,alzheimer disease,LINC01725,1:83789052,-1.0,
rs5969117-<b>C</b>,1e-06,alzheimer disease,UNKNOWN,X:87181248,0.308669738999424,
rs10498633-<b>?</b>,1e-06,alzheimer disease,SLC24A4,14:92460608,-1.0,
rs11983798-<b>T</b>,1e-06,alzheimer disease,ATXN7L1,7:105640741,-1.0,
rs6468852-<b>G</b>,1e-06,alzheimer disease,MAILR,8:102963761,0.21026303428839832,Nerve_Tibial&Whole_Blood
rs8077028-<b>T</b>,1e-06,late-onset alzheimers disease,CEP295NL,17:78891959,0.9752171657376985,
rs8077028-<b>T</b>,1e-06,late-onset alzheimers disease,TIMP2,17:78891959,0.9752171657376985,
rs73865608-<b>A</b>,1e-06,late-onset alzheimers disease,LINC02273,4:152043740,0.0023578363384188627,
rs73865608-<b>A</b>,1e-06,late-onset alzheimers disease,RNA5SP169,4:152043740,0.0023578363384188627,
rs243034-<b>C</b>,1e-06,alzheimer disease,MIR4432HG,2:60375757,0.4083290809593356,
rs35242772-<b>C</b>,1e-06,alzheimer disease,MIR302F,18:30214382,0.3753351206434316,
rs1992269-<b>A</b>,1e-06,alzheimer disease,AIDAP3,18:1872316,-1.0,
rs59616746-<b>C</b>,1e-06,alzheimer disease,SH2D4B,10:80629227,0.8551274751692288,
rs2233083-<b>?</b>,1e-06,alzheimer disease,MAPK7,17:19383150,-1.0,
rs75739461-<b>?</b>,1e-06,alzheimer disease,RERGL,12:18318612,-1.0,
rs75739461-<b>?</b>,1e-06,alzheimer disease,PIK3C2G,12:18318612,-1.0,
rs2392492-<b>?</b>,1e-06,alzheimer disease,ELMO1,7:37325592,-1.0,
rs12808148-<b>?</b>,1e-06,alzheimer disease,MMP12,11:102862432,-1.0,
rs12808148-<b>?</b>,1e-06,alzheimer disease,MMP3,11:102862432,-1.0,
rs138543081-<b>T</b>,1e-06,late-onset alzheimers disease,ZNF462,9:107043881,0.003883495145631068,
rs192013290-<b>T</b>,1e-06,late-onset alzheimers disease,HMCN1,1:185780742,0.0011646373742721016,
rs76816469-<b>T</b>,1e-06,late-onset alzheimers disease,CDH1,16:68759780,0.017482936175308345,
rs17172199-<b>?</b>,1e-06,alzheimer disease,HECW1,7:43337677,-1.0,
rs802571-<b>T</b>,1e-06,alzheimer disease,CNTNAP2,7:146265094,-1.0,
rs193129245-<b>A</b>,1e-06,late-onset alzheimers disease,UNKNOWN,6:23318629,0.00014234875444839857,
rs2718058-<b>G</b>,1e-06,alzheimer disease,GPR141,7:37801932,0.3547949429540549,Colon_Transverse&Whole_Blood&Lung
rs2718058-<b>G</b>,1e-06,alzheimer disease,EPDR1,7:37801932,0.3547949429540549,Colon_Transverse&Whole_Blood&Lung
rs1925458-<b>?</b>,1e-06,alzheimer disease,UNKNOWN,6:23378723,-1.0,
rs4533991-<b>T</b>,2e-06,alzheimer disease,UNKNOWN,6:51233850,0.41775655941587103,Colon_Sigmoid
rs142660142-<b>T</b>,2e-06,late-onset alzheimers disease,LINGO1,15:77611050,0.99736680955297,
rs2279590-<b>C</b>,2e-06,alzheimer disease,CLU,8:27598736,0.6139123937021134,Skin_Not_Sun_Exposed_Suprapubic&Heart_Atrial_Appendage&Heart_Left_Ventricle&Skin_Sun_Exposed_Lower_leg&Muscle_Skeletal
rs6978679-<b>A</b>,2e-06,alzheimer disease,CDHR3,7:106078297,0.6967528893780958,
rs6978679-<b>A</b>,2e-06,alzheimer disease,SYPL1,7:106078297,0.6967528893780958,
rs139638356-<b>T</b>,2e-06,late-onset alzheimers disease,UNKNOWN,9:80903300,0.9862428348097968,
rs4298437-<b>A</b>,2e-06,alzheimer disease,RELN,7:103985430,-1.0,Cells_Cultured_fibroblasts
rs144167489-<b>T</b>,2e-06,late-onset alzheimers disease,SUMO1P2,1:168874774,0.0001392951664577239,
rs144167489-<b>T</b>,2e-06,late-onset alzheimers disease,LINC00626,1:168874774,0.0001392951664577239,
rs7431992-<b>A</b>,2e-06,alzheimer disease,CACNA2D3,3:54319213,0.09396506087877184,
rs144464515-<b>C</b>,2e-06,late-onset alzheimers disease,ZNRF4,19:5417482,0.0024271844660194173,
rs144464515-<b>C</b>,2e-06,late-onset alzheimers disease,PTPRS,19:5417482,0.0024271844660194173,
rs1476679-<b>?</b>,2e-06,alzheimer disease,ZCWPW1,7:100406823,-1.0,Brain_Caudate_basal_ganglia&Artery_Tibial&Brain_Cerebellar_Hemisphere&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Skin_Not_Sun_Exposed_Suprapubic&Ovary&Brain_Cortex&Adipose_Subcutaneous&Brain_Hippocampus&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Liver&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Brain_Substantia_nigra&Brain_Amygdala&Whole_Blood&Brain_Cerebellum&Brain_Putamen_basal_ganglia&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Muscle_Skeletal&Spleen&Esophagus_Mucosa&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Brain_Frontal_Cortex_BA9&Nerve_Tibial&Pituitary&Pancreas&Brain_Hypothalamus
rs77501143-<b>T</b>,2e-06,alzheimer disease,MROH1,8:144197581,0.01925472873485106,Testis&Lung
rs181228315-<b>A</b>,2e-06,late-onset alzheimers disease,TMEM94,17:75453551,0.9984049930651872,
rs1477307-<b>?</b> x rs4077746-<b>?</b>,2e-06,alzheimer disease,No mapped genes x TLN2,15:62623147,-1.0,
rs146322114-<b>A</b>,2e-06,late-onset alzheimers disease,PCSK6,15:101501820,0.007420249653259363,
rs6838792-<b>?</b>,2e-06,alzheimer disease,STK32B,4:5096839,-1.0,
rs115317194-<b>T</b>,2e-06,late-onset alzheimers disease,SLMAP,3:57830215,0.013938973647711513,
rs7698880-<b>C</b>,2e-06,late-onset alzheimers disease,UNC93B4,4:4148701,0.034817062889900524,
rs1871047-<b>A</b>,2e-06,alzheimer disease,NECTIN2,19:44848489,0.6223801904362196,
rs72998574-<b>T</b>,2e-06,late-onset alzheimers disease,R3HDM2P2,6:103969846,0.064722787690097,
rs8103315-<b>?</b>,2e-06,alzheimer disease,BCL3,19:44750911,-1.0,
rs73239797-<b>A</b>,2e-06,late-onset alzheimers disease,RNU7-188P,7:96446404,0.04195035089556929,
rs73239797-<b>A</b>,2e-06,late-onset alzheimers disease,SEM1,7:96446404,0.04195035089556929,
rs184992198-<b>T</b>,2e-06,late-onset alzheimers disease,BNIP3P13,19:20064649,1.0,
rs184992198-<b>T</b>,2e-06,late-onset alzheimers disease,ZNF90,19:20064649,1.0,
rs16830122-<b>A</b>,2e-06,alzheimer disease,KCNN3,1:154713065,0.12200890372843627,Adipose_Subcutaneous
