,variant_and_allele,p_value,trait,gene,location
2176,rs1899543-<b>?</b>,1e-09,schizophrenia,Y_RNA,11:24384873
2533,rs1509378-<b>?</b>,1e-09,schizophrenia,UNKNOWN,Mapping not available
693,rs35657897-<b>A</b>,1e-09,schizophrenia,PLCL1,2:198064362
1982,rs35017470-<b>?</b>,1e-09,schizophrenia,LINC02060,5:88431287
1982,rs35017470-<b>?</b>,1e-09,schizophrenia,TMEM161B-AS1,5:88431287
688,rs12474906-<b>A</b>,1e-09,schizophrenia,UNKNOWN,Mapping not available
1954,rs8139773-<b>?</b>,1e-09,schizophrenia,CACNA1I,22:39579686
677,rs6694545-<b>A</b>,1e-09,schizophrenia,UNKNOWN,Mapping not available
2525,rs2239063-<b>?</b>,1e-09,schizophrenia,UNKNOWN,Mapping not available
1930,rs35274053-<b>?</b>,1e-09,schizophrenia,LINC02551,11:130848319
1925,rs11027827-<b>?</b>,1e-09,schizophrenia,LINC02686,11:24353633
1624,rs2973155-<b>C</b>,1e-09,schizophrenia,LINC01470,5:153229059
1630,rs3132565-<b>A</b>,1e-09,schizophrenia,PSORS1C1,6:31135187
2556,rs12214031-<b>?</b>,1e-09,schizophrenia,UNKNOWN,Mapping not available
36,rs56007784-<b>C</b>,1e-09,schizophrenia,YWHAE,17:1387656
5,rs6846161-<b>A</b>,1e-09,schizophrenia,GPM6A,4:175945308
1926,rs61882743-<b>?</b>,1e-09,schizophrenia,AMBRA1,11:46527204
122,rs2910032-<b>C</b>,1e-09,schizophrenia,LINC01470,5:153160794
300,rs6466055-<b>?</b>,1e-09,schizophrenia,SRPK2,7:105288617
297,rs6984242-<b>?</b>,1e-09,schizophrenia,UNKNOWN,8:59787910
254,rs4873803-<b>?</b>,1e-09,schizophrenia,MROH6,8:143572424
2484,rs17270962-<b>?</b>,1e-09,schizophrenia,UNKNOWN,Mapping not available
2099,rs11223656-<b>?</b>,1e-09,schizophrenia,IGSF9B,11:133973078
2099,rs11223656-<b>?</b>,1e-09,schizophrenia,LINC02730,11:133973078
2509,rs75836205-<b>?</b>,1e-09,schizophrenia,UNKNOWN,Mapping not available
535,rs4793885-<b>?</b>,1e-09,schizophrenia,MSI2,17:57650863
2086,rs10491964-<b>?</b>,1e-09,schizophrenia,CACNA1C,12:2391265
2021,rs6748251-<b>?</b>,2e-09,schizophrenia,UNKNOWN,2:193603800
1862,rs7940866-<b>T</b>,2e-09,schizophrenia,SNX19,11:130947684
1862,rs7940866-<b>T</b>,2e-09,schizophrenia,RN7SL167P,11:130947684
2553,rs72804781-<b>?</b>,2e-09,schizophrenia,UNKNOWN,Mapping not available
2073,rs11874716-<b>?</b>,2e-09,schizophrenia,LINC01929,18:55083457
301,rs2910032-<b>?</b>,2e-09,schizophrenia,LINC01470,5:153160794
885,rs67575965-<b>A</b>,2e-09,schizophrenia,H1-12P,6:26196365
1842,rs12807809-<b>T</b>,2e-09,schizophrenia,UNKNOWN,Mapping not available
1810,rs12666575-<b>?</b>,2e-09,schizophrenia,MAD1L1,7:1964786
1805,rs11191580-<b>?</b>,2e-09,schizophrenia,NT5C2,10:103146454
303,rs3849046-<b>?</b>,2e-09,schizophrenia,ETF1,5:138515503
2564,rs217320-<b>?</b>,2e-09,schizophrenia,UNKNOWN,Mapping not available
1718,rs11139497-<b>A</b>,2e-09,schizophrenia,DDX10P2,9:82125026
2179,rs211829-<b>?</b>,2e-09,schizophrenia,UNKNOWN,7:110408836
2178,rs11409090-<b>?</b>,2e-09,schizophrenia,TBC1D5,3:17846144
1096,rs117074560-<b>C</b>,2e-09,schizophrenia,FUT9,6:96011775
1096,rs117074560-<b>C</b>,2e-09,schizophrenia,KRT18P50,6:96011775
1390,rs2053079-<b>G</b>,2e-09,schizophrenia,ZNF536,19:30496516
379,rs2010476-<b>?</b>,2e-09,schizophrenia,UNKNOWN,16:64339990
2510,rs13267290-<b>?</b>,2e-09,schizophrenia,UNKNOWN,Mapping not available
2004,rs67575965-<b>?</b>,2e-09,schizophrenia,H1-12P,6:26196365
2040,rs11740474-<b>?</b>,2e-09,schizophrenia,GALNT10,5:154301187
1989,rs6918354-<b>?</b>,2e-09,schizophrenia,CARMIL1,6:25444386
1989,rs6918354-<b>?</b>,2e-09,schizophrenia,CMAHP,6:25444386
1038,rs9420-<b>A</b>,2e-09,schizophrenia,SELENOH,11:57742822
441,rs975025-<b>?</b>,2e-09,schizophrenia,AXDND1,1:179369192
440,rs6670165-<b>?</b>,2e-09,schizophrenia,BRINP2,1:177310985
440,rs6670165-<b>?</b>,2e-09,schizophrenia,LINC01645,1:177310985
397,rs2767713-<b>?</b>,2e-09,schizophrenia,DDX10P2,9:82184622
118,rs11210195-<b>C</b>,2e-09,schizophrenia,RN7SKP19,1:73283600
118,rs11210195-<b>C</b>,2e-09,schizophrenia,LINC01360,1:73283600
2057,rs79210963-<b>?</b>,2e-09,schizophrenia,UNKNOWN,Mapping not available
1962,rs7599488-<b>?</b>,2e-09,schizophrenia,BCL11A,2:60491212
391,rs867743-<b>?</b>,2e-09,schizophrenia,UNKNOWN,8:59782088
399,rs1043009-<b>?</b>,2e-09,schizophrenia,KLF6,10:3777522
2494,rs72934586-<b>?</b>,2e-09,schizophrenia,UNKNOWN,Mapping not available
93,rs13261217-<b>G</b>,2e-09,schizophrenia,CSMD1,8:4325535
2059,rs13233308-<b>?</b>,2e-09,schizophrenia,ABCB1,7:87615644
2035,rs454822-<b>?</b>,2e-09,schizophrenia,TMEM161B,5:88254278
2463,rs7626288-<b>A</b>,2e-09,schizophrenia,LTF,3:46443878
705,rs160593-<b>G</b>,2e-09,schizophrenia,LIN28B,6:105018457
550,rs6128857-<b>?</b>,2e-09,schizophrenia,ACTR5,20:38738094
550,rs6128857-<b>?</b>,2e-09,schizophrenia,SLC32A1,20:38738094
2441,rs9332466-<b>T</b>,2e-09,schizophrenia,PCGF3,4:750310
664,rs1790135-<b>T</b>,2e-09,schizophrenia,MPHOSPH9,12:123184688
2424,rs505061-<b>A</b>,2e-09,schizophrenia,LINC01239,9:22767165
633,rs13267290-<b>A</b>,2e-09,schizophrenia,UNKNOWN,Mapping not available
626,rs35182064-<b>A</b>,2e-09,schizophrenia,GRM3,7:86617000
617,rs10515678-<b>T</b>,2e-09,schizophrenia,LINC01470,5:152943676
2392,rs71407077-<b>C</b>,2e-09,schizophrenia,RNF111,15:58882001
2392,rs71407077-<b>C</b>,2e-09,schizophrenia,SLTM,15:58882001
558,rs5943630-<b>?</b>,2e-09,schizophrenia,IL1RAPL1,X:29258095
687,rs1509378-<b>A</b>,2e-09,schizophrenia,UNKNOWN,Mapping not available
2418,rs9849438-<b>A</b>,2e-09,schizophrenia,UNKNOWN,3:80506314
789,rs867743-<b>G</b>,2e-09,schizophrenia,UNKNOWN,8:59782088
676,rs7112616-<b>T</b>,2e-09,schizophrenia,RN7SL167P,11:130935439
676,rs7112616-<b>T</b>,2e-09,schizophrenia,SNX19,11:130935439
662,rs12826178-<b>T</b>,3.0000000000000004e-09,schizophrenia,NXPH4,12:57228588
662,rs12826178-<b>T</b>,3.0000000000000004e-09,schizophrenia,SHMT2,12:57228588
1863,rs17504622-<b>T</b>,3.0000000000000004e-09,schizophrenia,LINC01470,5:153274919
1225,rs11717383-<b>G</b>,3.0000000000000004e-09,schizophrenia,PPM1M,3:52253452
1225,rs11717383-<b>G</b>,3.0000000000000004e-09,schizophrenia,WDR82,3:52253452
2011,rs7521492-<b>?</b>,3.0000000000000004e-09,schizophrenia,UNKNOWN,1:163758686
683,rs72769124-<b>A</b>,3.0000000000000004e-09,schizophrenia,UNKNOWN,1:239046758
307,rs11139497-<b>?</b>,3.0000000000000004e-09,schizophrenia,DDX10P2,9:82125026
306,rs4523957-<b>?</b>,3.0000000000000004e-09,schizophrenia,SRR,17:2305605
1864,rs2905424-<b>T</b>,3.0000000000000004e-09,schizophrenia,GATAD2A,19:19362636
1864,rs2905424-<b>T</b>,3.0000000000000004e-09,schizophrenia,MAU2,19:19362636
305,rs6430095-<b>?</b>,3.0000000000000004e-09,schizophrenia,UNKNOWN,2:145682377
2428,rs4937935-<b>T</b>,3.0000000000000004e-09,schizophrenia,LINC02873,11:134710697
2428,rs4937935-<b>T</b>,3.0000000000000004e-09,schizophrenia,LINC02706,11:134710697
2419,rs9998799-<b>T</b>,3.0000000000000004e-09,schizophrenia,NAA11,4:79297258
2419,rs9998799-<b>T</b>,3.0000000000000004e-09,schizophrenia,LINC01088,4:79297258
2180,rs12898315-<b>?</b>,3.0000000000000004e-09,schizophrenia,UNKNOWN,15:61561804
2181,rs34269918-<b>?</b>,3.0000000000000004e-09,schizophrenia,RERE,1:8364925
1972,rs832190-<b>?</b>,3.0000000000000004e-09,schizophrenia,THOC7,3:63856953
1973,rs940174-<b>?</b>,3.0000000000000004e-09,schizophrenia,STAG1,3:136590868
1037,rs11027857-<b>A</b>,3.0000000000000004e-09,schizophrenia,Y_RNA,11:24382074
463,rs13096176-<b>?</b>,3.0000000000000004e-09,schizophrenia,SOX2-OT,3:181034350
1977,rs185071033-<b>?</b>,3.0000000000000004e-09,schizophrenia,RPSAP2,6:28746191
1977,rs185071033-<b>?</b>,3.0000000000000004e-09,schizophrenia,NOP56P1,6:28746191
1131,rs10883765-<b>?</b>,3.0000000000000004e-09,schizophrenia,ARL3,10:102696929
467,rs320696-<b>?</b>,3.0000000000000004e-09,schizophrenia,PTN,7:137362391
467,rs320696-<b>?</b>,3.0000000000000004e-09,schizophrenia,DGKI,7:137362391
621,rs217289-<b>A</b>,3.0000000000000004e-09,schizophrenia,SNAP91,6:83692088
477,rs942820-<b>?</b>,3.0000000000000004e-09,schizophrenia,PLCH2,1:2448266
1934,rs679087-<b>?</b>,3.0000000000000004e-09,schizophrenia,TMTC1,12:29764332
355,rs111589530-<b>?</b>,3.0000000000000004e-09,schizophrenia,CCDC62,12:122830405
355,rs111589530-<b>?</b>,3.0000000000000004e-09,schizophrenia,HIP1R,12:122830405
354,rs147786161-<b>?</b>,3.0000000000000004e-09,schizophrenia,MLXIP,12:122099234
2547,rs704364-<b>?</b>,3.0000000000000004e-09,schizophrenia,UNKNOWN,Mapping not available
1627,rs3001723-<b>A</b>,3.0000000000000004e-09,schizophrenia,PTPRF,1:43572014
329,rs17616243-<b>T</b>,3.0000000000000004e-09,schizophrenia,BMPR1B,4:94871365
2377,rs59761926-<b>T</b>,3.0000000000000004e-09,schizophrenia,PTPRD,9:10238178
525,rs10517289-<b>?</b>,3.0000000000000004e-09,schizophrenia,UNKNOWN,4:33645261
2101,rs672107-<b>?</b>,3.0000000000000004e-09,schizophrenia,TMTC1,12:29764333
2069,rs9922678-<b>?</b>,3.0000000000000004e-09,schizophrenia,GRIN2A,16:9852462
886,rs59979824-<b>C</b>,3.0000000000000004e-09,schizophrenia,UNKNOWN,2:192983614
2007,rs35998080-<b>?</b>,4e-09,schizophrenia,LINC02797,1:72812932
2107,rs10149407-<b>?</b>,4e-09,schizophrenia,PRKD1,14:29718199
2060,rs7776707-<b>?</b>,4e-09,schizophrenia,LINC01004,7:104965083
1952,rs1789567-<b>?</b>,4e-09,schizophrenia,LINC01539,18:56123888
1952,rs1789567-<b>?</b>,4e-09,schizophrenia,LINC01905,18:56123888
549,rs1075195-<b>?</b>,4e-09,schizophrenia,Metazoa_SRP,20:38718108
549,rs1075195-<b>?</b>,4e-09,schizophrenia,SLC32A1,20:38718108
624,rs79210963-<b>T</b>,4e-09,schizophrenia,UNKNOWN,Mapping not available
864,rs11539637-<b>T</b>,4e-09,schizophrenia,FES,15:90885060
888,rs67981189-<b>G</b>,4e-09,schizophrenia,PCNX1,14:71005509
2425,rs6479495-<b>C</b>,4e-09,schizophrenia,PHF2,9:93572320
2425,rs6479495-<b>C</b>,4e-09,schizophrenia,FAM120A,9:93572320
341,rs7127399-<b>?</b>,4e-09,schizophrenia,OR8Q1P,11:124591378
341,rs7127399-<b>?</b>,4e-09,schizophrenia,OR8A1,11:124591378
2450,rs7900775-<b>T</b>,4e-09,schizophrenia,SORCS3,10:104840585
383,rs3088186-<b>?</b>,4e-09,schizophrenia,MSRA,8:10368845
1056,rs56205728-<b>A</b>,4e-09,schizophrenia,PAK6,15:40275036
1838,rs9960767-<b>C</b>,4e-09,schizophrenia,TCF4,18:55487771
1090,rs77149735-<b>A</b>,4e-09,schizophrenia,SDCCAG8,1:243391803
510,rs2293018-<b>?</b>,4e-09,schizophrenia,MST1R,3:49906323
510,rs2293018-<b>?</b>,4e-09,schizophrenia,MON1A,3:49906323
2072,rs4632195-<b>?</b>,5e-09,schizophrenia,DCC,18:53220378
1054,rs2693698-<b>G</b>,5e-09,schizophrenia,BCL11B,14:99252882
1628,rs301797-<b>A</b>,5e-09,schizophrenia,RERE-AS1,1:8427263
1628,rs301797-<b>A</b>,5e-09,schizophrenia,RERE,1:8427263
1091,rs3849046-<b>T</b>,5e-09,schizophrenia,ETF1,5:138515503
2079,rs7267348-<b>?</b>,5e-09,schizophrenia,UNKNOWN,Mapping not available
2028,rs832187-<b>?</b>,5e-09,schizophrenia,THOC7,3:63847374
2028,rs832187-<b>?</b>,5e-09,schizophrenia,C3orf49,3:63847374
2030,rs10935185-<b>?</b>,5e-09,schizophrenia,STAG1,3:136571687
205,rs4479915-<b>G</b>,5e-09,schizophrenia,UNKNOWN,6:164654568
2432,rs11147928-<b>G</b>,5e-09,schizophrenia,ENOX1,13:43777097
121,rs17234749-<b>G</b>,5e-09,schizophrenia,Y_RNA,11:24360352
121,rs17234749-<b>G</b>,5e-09,schizophrenia,LINC02686,11:24360352
2183,rs10196799-<b>?</b>,5e-09,schizophrenia,ZNF804A,2:184776001
63,rs111364339-<b>C</b>,5e-09,schizophrenia,RNU6-543P,10:63098112
456,rs4660761-<b>?</b>,5e-09,schizophrenia,ATP6V0B,1:43974474
456,rs4660761-<b>?</b>,5e-09,schizophrenia,DPH2,1:43974474
2104,rs10735362-<b>?</b>,5e-09,schizophrenia,ANKS1B,12:99101208
2548,rs4630889-<b>?</b>,5e-09,schizophrenia,UNKNOWN,Mapping not available
27,rs12129037-<b>T</b>,5e-09,schizophrenia,FALEC,1:150519638
27,rs12129037-<b>T</b>,5e-09,schizophrenia,ADAMTSL4-AS2,1:150519638
81,rs9841616-<b>T</b>,5e-09,schizophrenia,SOX2-OT,3:181449797
2037,rs4835691-<b>?</b>,5e-09,schizophrenia,CTNNA1,5:138602884
2037,rs4835691-<b>?</b>,5e-09,schizophrenia,HSPA9,5:138602884
1158,rs9665626-<b>G</b>,5e-09,schizophrenia,SUFU,10:102540881
604,rs113568682-<b>A</b>,5e-09,schizophrenia,LINC01470,5:152920194
890,rs72804786-<b>G</b>,5e-09,schizophrenia,LINC01470,5:152938239
889,rs113897692-<b>A</b>,5e-09,schizophrenia,LINC01470,5:152797226
1089,rs16867576-<b>A</b>,5e-09,schizophrenia,MEF2C-AS1,5:89450514
1098,rs4330281-<b>C</b>,5e-09,schizophrenia,TBC1D5,3:17817874
1232,rs12823424-<b>A</b>,5e-09,schizophrenia,CACNA1C,12:2404946
309,rs12325245-<b>?</b>,5e-09,schizophrenia,CNOT1,16:58647489
309,rs12325245-<b>?</b>,5e-09,schizophrenia,SLC38A7,16:58647489
411,rs6938026-<b>?</b>,5e-09,schizophrenia,CUL9,6:43217995
1087,rs1501357-<b>C</b>,5e-09,schizophrenia,HCN1,5:45364773
2446,rs1137522-<b>C</b>,5e-09,schizophrenia,JRK,8:142657606
2014,rs11903391-<b>?</b>,5e-09,schizophrenia,LINC01830,2:22418280
488,rs7673823-<b>?</b>,5e-09,schizophrenia,GPM6A,4:175804069
109,rs6500596-<b>G</b>,5e-09,schizophrenia,CORO7-PAM16,16:4420026
109,rs6500596-<b>G</b>,5e-09,schizophrenia,CORO7,16:4420026
491,rs419677-<b>?</b>,5e-09,schizophrenia,KRT18P42,5:109676609
491,rs419677-<b>?</b>,5e-09,schizophrenia,MAN2A1-DT,5:109676609
658,rs2238044-<b>A</b>,6.000000000000001e-09,schizophrenia,CACNA1C,12:2176565
2438,rs12475492-<b>G</b>,6.000000000000001e-09,schizophrenia,RN7SKP224,2:48153579
952,rs73191547-<b>T</b>,6.000000000000001e-09,schizophrenia,MSRA,8:10175915
951,rs6738529-<b>G</b>,6.000000000000001e-09,schizophrenia,EFHD1,2:232686251
951,rs6738529-<b>G</b>,6.000000000000001e-09,schizophrenia,GIGYF2,2:232686251
362,rs4243617-<b>?</b>,6.000000000000001e-09,schizophrenia,RTN1,14:59698352
2440,rs13017997-<b>T</b>,6.000000000000001e-09,schizophrenia,LINC01876,2:155988248
2372,rs319227-<b>A</b>,6.000000000000001e-09,schizophrenia,PPP2R2B,5:146866199
893,rs1837495-<b>G</b>,6.000000000000001e-09,schizophrenia,PLCL1,2:198056477
49,rs62152284-<b>T</b>,6.000000000000001e-09,schizophrenia,AHCYP3,2:104367929
2184,rs7801375-<b>?</b>,6.000000000000001e-09,schizophrenia,CAPZA1P4,7:131882504
2185,rs7191183-<b>?</b>,6.000000000000001e-09,schizophrenia,GRIN2A,16:9806200
722,rs12541020-<b>T</b>,6.000000000000001e-09,schizophrenia,CSMD1,8:4960070
1927,rs12421382-<b>?</b>,6.000000000000001e-09,schizophrenia,C11orf87,11:109507345
139,rs619091-<b>T</b>,6.000000000000001e-09,schizophrenia,LINC02730,11:134014242
402,rs72829007-<b>?</b>,6.000000000000001e-09,schizophrenia,RN7SL591P,10:62328196
402,rs72829007-<b>?</b>,6.000000000000001e-09,schizophrenia,LINC02621,10:62328196
1885,rs7527939-<b>C</b>,6.000000000000001e-09,schizophrenia,HHAT,1:210362681
660,rs2239063-<b>A</b>,6.000000000000001e-09,schizophrenia,UNKNOWN,Mapping not available
576,rs78681500-<b>C</b>,6.000000000000001e-09,schizophrenia,SPATS2L,2:200322593
2434,rs3742658-<b>C</b>,6.000000000000001e-09,schizophrenia,TTC7B,14:90657500
2512,rs9695226-<b>?</b>,6.000000000000001e-09,schizophrenia,UNKNOWN,Mapping not available
2088,rs72841270-<b>?</b>,6.000000000000001e-09,schizophrenia,UNKNOWN,Mapping not available
482,rs215412-<b>?</b>,6.000000000000001e-09,schizophrenia,RFPL4AP3,4:23421963
622,rs117074560-<b>T</b>,7.000000000000001e-09,schizophrenia,FUT9,6:96011775
622,rs117074560-<b>T</b>,7.000000000000001e-09,schizophrenia,KRT18P50,6:96011775
1714,rs1106568-<b>G</b>,7.000000000000001e-09,schizophrenia,GPM6A,4:175940150
433,rs946106-<b>?</b>,7.000000000000001e-09,schizophrenia,AGBL4,1:49462817
433,rs946106-<b>?</b>,7.000000000000001e-09,schizophrenia,AGBL4-IT1,1:49462817
532,rs4365348-<b>?</b>,7.000000000000001e-09,schizophrenia,ATPAF2,17:18009234
532,rs4365348-<b>?</b>,7.000000000000001e-09,schizophrenia,DRC3,17:18009234
2046,rs144478515-<b>?</b>,7.000000000000001e-09,schizophrenia,ZBED9,6:28593450
335,rs9420-<b>?</b>,7.000000000000001e-09,schizophrenia,SELENOH,11:57742822
1865,rs2373000-<b>T</b>,7.000000000000001e-09,schizophrenia,QPCT,2:37365485
2186,rs7010876-<b>?</b>,7.000000000000001e-09,schizophrenia,MMP16,8:88252522
2013,rs12691548-<b>?</b>,7.000000000000001e-09,schizophrenia,AKT3,1:243656826
628,rs7789569-<b>T</b>,7.000000000000001e-09,schizophrenia,UNKNOWN,Mapping not available
388,rs78895722-<b>?</b>,7.000000000000001e-09,schizophrenia,RPL10AP3,8:34223067
1386,rs2018916-<b>C</b>,7.000000000000001e-09,schizophrenia,LINC02165,16:63666604
497,rs13019859-<b>?</b>,7.000000000000001e-09,schizophrenia,UNKNOWN,2:193062410
2423,rs303739-<b>C</b>,7.000000000000001e-09,schizophrenia,CDCA4P1,9:14505994
1015,rs3768644-<b>G</b>,7.000000000000001e-09,schizophrenia,CYP26B1,2:72134376
2053,rs2016358-<b>?</b>,7.000000000000001e-09,schizophrenia,SNAP91,6:83574014
2500,rs12485034-<b>?</b>,7.000000000000001e-09,schizophrenia,UNKNOWN,Mapping not available
1468,rs73388146-<b>G</b>,7.000000000000001e-09,schizophrenia,CMAHP,6:25170440
745,rs12622667-<b>C</b>,8e-09,schizophrenia,EPC2,2:148762617
2436,rs200450-<b>G</b>,8e-09,schizophrenia,DNAJC11,1:6665170
526,rs28419375-<b>?</b>,8e-09,schizophrenia,LINC02264,4:117906596
2024,rs747462-<b>?</b>,8e-09,schizophrenia,NGEF,2:232925461
311,rs4908972-<b>?</b>,8e-09,schizophrenia,TBC1D5,3:17754700
931,rs7267348-<b>C</b>,8e-09,schizophrenia,UNKNOWN,Mapping not available
735,rs75575209-<b>T</b>,8e-09,schizophrenia,VRK2,2:57911057
1956,rs1023500-<b>?</b>,8e-09,schizophrenia,CENPM,22:41944840
365,rs1676062-<b>?</b>,8e-09,schizophrenia,MTCYBP27,14:84178478
675,rs7288455-<b>A</b>,8e-09,schizophrenia,CACNA1I,22:39570542
675,rs7288455-<b>A</b>,8e-09,schizophrenia,RPS19BP1,22:39570542
894,rs60005721-<b>A</b>,8e-09,schizophrenia,CMAHP,6:25262991
406,rs10515678-<b>?</b>,8e-09,schizophrenia,LINC01470,5:152943676
685,rs12093576-<b>T</b>,8e-09,schizophrenia,SDCCAG8,1:243492595
685,rs12093576-<b>T</b>,8e-09,schizophrenia,AKT3,1:243492595
2187,rs139425113-<b>?</b>,8e-09,schizophrenia,CSMD1,8:4323090
52,rs4388249-<b>T</b>,8e-09,schizophrenia,MAN2A1,5:109700365
333,rs11038391-<b>?</b>,8e-09,schizophrenia,LINC02696,11:45308670
333,rs11038391-<b>?</b>,8e-09,schizophrenia,SYT13,11:45308670
1020,rs6704641-<b>A</b>,8e-09,schizophrenia,SATB2,2:199299529
581,rs7757969-<b>C</b>,8e-09,schizophrenia,FYN,6:111810829
360,rs75365967-<b>?</b>,8e-09,schizophrenia,LINC02326,14:29004453
895,rs11658257-<b>G</b>,8e-09,schizophrenia,GID4,17:18053145
538,rs73477270-<b>?</b>,8e-09,schizophrenia,TCF4,18:55425653
2008,rs1023330-<b>?</b>,9.000000000000001e-09,schizophrenia,TLCD4-RWDD3,1:95121217
2008,rs1023330-<b>?</b>,9.000000000000001e-09,schizophrenia,TLCD4,1:95121217
2437,rs7584565-<b>T</b>,9.000000000000001e-09,schizophrenia,PRKD3,2:37323760
2095,rs3858402-<b>?</b>,9.000000000000001e-09,schizophrenia,LINC02715,11:109685112
1495,rs7801375-<b>G</b>,9.000000000000001e-09,schizophrenia,CAPZA1P4,7:131882504
768,rs10894308-<b>G</b>,9.000000000000001e-09,schizophrenia,RN7SL167P,11:131022000
2083,rs1023497-<b>?</b>,9.000000000000001e-09,schizophrenia,CENPM,22:41944504
794,rs13266463-<b>G</b>,9.000000000000001e-09,schizophrenia,TSNARE1,8:142322332
82,rs2381759-<b>T</b>,9.000000000000001e-09,schizophrenia,UNKNOWN,2:145670463
422,rs79527984-<b>?</b>,9.000000000000001e-09,schizophrenia,CALN1,7:72387188
512,rs2236989-<b>?</b>,9.000000000000001e-09,schizophrenia,CACNA2D2,3:50467964
2460,rs2143757-<b>G</b>,9.000000000000001e-09,schizophrenia,LINC01725,1:83801108
1688,rs4711350-<b>G</b>,9.000000000000001e-09,schizophrenia,LEMD2,6:33773939
494,rs11958187-<b>?</b>,9.000000000000001e-09,schizophrenia,PPP2R2B,5:147055600
861,rs783540-<b>G</b>,9.000000000000001e-09,schizophrenia,UNKNOWN,Mapping not available
1866,rs6878284-<b>C</b>,9.000000000000001e-09,schizophrenia,SLCO6A1,5:102434022
507,rs59721702-<b>?</b>,9.000000000000001e-09,schizophrenia,OSBPL10,3:32021957
2563,rs2789605-<b>?</b>,9.000000000000001e-09,schizophrenia,UNKNOWN,Mapping not available
1870,rs4801131-<b>C</b>,1e-08,schizophrenia,LINC01929,18:55085469
562,rs78885399-<b>C</b>,1e-08,schizophrenia,SPPL3,12:120741095
562,rs78885399-<b>C</b>,1e-08,schizophrenia,ACADS,12:120741095
496,rs1483245-<b>?</b>,1e-08,schizophrenia,BCL11A,2:185182339
1663,rs385492-<b>T</b>,1e-08,schizophrenia,ZFP57,6:29681770
1663,rs385492-<b>T</b>,1e-08,schizophrenia,ZDHHC20P1,6:29681770
1415,rs55833108-<b>T</b>,1e-08,schizophrenia,CNNM2,10:102981826
1558,rs12446487-<b>C</b>,1e-08,schizophrenia,CNOT1,16:58637911
1558,rs12446487-<b>C</b>,1e-08,schizophrenia,SLC38A7,16:58637911
1988,rs73388146-<b>?</b>,1e-08,schizophrenia,CMAHP,6:25170440
2532,rs10803138-<b>?</b>,1e-08,schizophrenia,UNKNOWN,Mapping not available
1026,rs832187-<b>C</b>,1e-08,schizophrenia,THOC7,3:63847374
1026,rs832187-<b>C</b>,1e-08,schizophrenia,C3orf49,3:63847374
1868,rs12991836-<b>C</b>,1e-08,schizophrenia,ZEB2,2:144383974
387,rs73229090-<b>?</b>,1e-08,schizophrenia,GULOP,8:27584610
1028,rs10503253-<b>A</b>,1e-08,schizophrenia,CSMD1,8:4323322
1867,rs4687552-<b>T</b>,1e-08,schizophrenia,ITIH3,3:52804386
468,rs11986274-<b>?</b>,1e-08,schizophrenia,FGFR1,8:38401963
468,rs11986274-<b>?</b>,1e-08,schizophrenia,LETM2,8:38401963
1833,rs13194053-<b>T</b>,1e-08,schizophrenia,MIR3143,6:27176104
1833,rs13194053-<b>T</b>,1e-08,schizophrenia,RPL10P2,6:27176104
475,rs11665111-<b>?</b>,1e-08,schizophrenia,KCNG2,18:79862996
2427,rs11226509-<b>C</b>,1e-08,schizophrenia,CASP12,11:104802933
1847,rs10489202-<b>A</b>,1e-08,schizophrenia,UNKNOWN,Mapping not available
2439,rs13416544-<b>G</b>,1e-08,schizophrenia,TMEM17,2:62494761
2439,rs13416544-<b>G</b>,1e-08,schizophrenia,RN7SL18P,2:62494761
935,rs17002069-<b>C</b>,1e-08,schizophrenia,MRTFA,22:40654982
935,rs17002069-<b>C</b>,1e-08,schizophrenia,GAPDHP37,22:40654982
2191,rs1120004-<b>?</b>,1e-08,schizophrenia,SOX5,12:23480498
147,rs10940346-<b>G</b>,1e-08,schizophrenia,EMB,5:50510208
2371,rs6848123-<b>A</b>,1e-08,schizophrenia,LINC01088,4:79282271
2371,rs6848123-<b>A</b>,1e-08,schizophrenia,NAA11,4:79282271
2190,rs215411-<b>?</b>,1e-08,schizophrenia,RFPL4AP3,4:23421980
2480,rs2810117-<b>?</b>,1e-08,schizophrenia,UNKNOWN,Mapping not available
602,rs7733403-<b>A</b>,1e-08,schizophrenia,PCDHA1,5:140774630
602,rs7733403-<b>A</b>,1e-08,schizophrenia,VTRNA1-3,5:140774630
2189,rs12148337-<b>?</b>,1e-08,schizophrenia,UNKNOWN,15:70296933
600,rs3756766-<b>A</b>,1e-08,schizophrenia,FAM53C,5:138337478
600,rs3756766-<b>A</b>,1e-08,schizophrenia,CDC25C,5:138337478
2188,rs4650963-<b>?</b>,1e-08,schizophrenia,LINC01645,1:177340354
2188,rs4650963-<b>?</b>,1e-08,schizophrenia,BRINP2,1:177340354
344,rs2917568-<b>?</b>,1e-08,schizophrenia,OPCML,11:132698359
645,rs7267348-<b>T</b>,1e-08,schizophrenia,UNKNOWN,Mapping not available
2538,rs2581109-<b>?</b>,1e-08,schizophrenia,UNKNOWN,Mapping not available
2374,rs9386072-<b>A</b>,1e-08,schizophrenia,UTRN,6:144538373
2368,rs10178509-<b>T</b>,1e-08,schizophrenia,AGAP1,2:235884194
699,rs832187-<b>T</b>,1e-08,schizophrenia,THOC7,3:63847374
699,rs832187-<b>T</b>,1e-08,schizophrenia,C3orf49,3:63847374
919,rs72843506-<b>A</b>,1e-08,schizophrenia,SPECC1,17:20042974
