,variant_and_allele,p_value,trait,gene
662,rs12826178-<b>T</b>,3.0000000000000004e-09,schizophrenia,SHMT2
525,rs10517289-<b>?</b>,3.0000000000000004e-09,schizophrenia,UNKNOWN
683,rs72769124-<b>A</b>,3.0000000000000004e-09,schizophrenia,UNKNOWN
354,rs147786161-<b>?</b>,3.0000000000000004e-09,schizophrenia,MLXIP
1131,rs10883765-<b>?</b>,3.0000000000000004e-09,schizophrenia,ARL3
305,rs6430095-<b>?</b>,3.0000000000000004e-09,schizophrenia,UNKNOWN
1864,rs2905424-<b>T</b>,3.0000000000000004e-09,schizophrenia,GATAD2A
1864,rs2905424-<b>T</b>,3.0000000000000004e-09,schizophrenia,MAU2
329,rs17616243-<b>T</b>,3.0000000000000004e-09,schizophrenia,BMPR1B
307,rs11139497-<b>?</b>,3.0000000000000004e-09,schizophrenia,DDX10P2
2069,rs9922678-<b>?</b>,3.0000000000000004e-09,schizophrenia,GRIN2A
886,rs59979824-<b>C</b>,3.0000000000000004e-09,schizophrenia,UNKNOWN
306,rs4523957-<b>?</b>,3.0000000000000004e-09,schizophrenia,SRR
2101,rs672107-<b>?</b>,3.0000000000000004e-09,schizophrenia,TMTC1
549,rs1075195-<b>?</b>,4e-09,schizophrenia,Metazoa_SRP
549,rs1075195-<b>?</b>,4e-09,schizophrenia,SLC32A1
383,rs3088186-<b>?</b>,4e-09,schizophrenia,MSRA
2425,rs6479495-<b>C</b>,4e-09,schizophrenia,PHF2
2425,rs6479495-<b>C</b>,4e-09,schizophrenia,FAM120A
624,rs79210963-<b>T</b>,4e-09,schizophrenia,UNKNOWN
2007,rs35998080-<b>?</b>,4e-09,schizophrenia,LINC02797
864,rs11539637-<b>T</b>,4e-09,schizophrenia,FES
1090,rs77149735-<b>A</b>,4e-09,schizophrenia,SDCCAG8
1952,rs1789567-<b>?</b>,4e-09,schizophrenia,LINC01539
1952,rs1789567-<b>?</b>,4e-09,schizophrenia,LINC01905
888,rs67981189-<b>G</b>,4e-09,schizophrenia,PCNX1
1056,rs56205728-<b>A</b>,4e-09,schizophrenia,PAK6
2450,rs7900775-<b>T</b>,4e-09,schizophrenia,SORCS3
341,rs7127399-<b>?</b>,4e-09,schizophrenia,OR8Q1P
341,rs7127399-<b>?</b>,4e-09,schizophrenia,OR8A1
1838,rs9960767-<b>C</b>,4e-09,schizophrenia,TCF4
510,rs2293018-<b>?</b>,4e-09,schizophrenia,MST1R
510,rs2293018-<b>?</b>,4e-09,schizophrenia,MON1A
2060,rs7776707-<b>?</b>,4e-09,schizophrenia,LINC01004
2107,rs10149407-<b>?</b>,4e-09,schizophrenia,PRKD1
27,rs12129037-<b>T</b>,5e-09,schizophrenia,FALEC
27,rs12129037-<b>T</b>,5e-09,schizophrenia,ADAMTSL4-AS2
63,rs111364339-<b>C</b>,5e-09,schizophrenia,RNU6-543P
81,rs9841616-<b>T</b>,5e-09,schizophrenia,SOX2-OT
456,rs4660761-<b>?</b>,5e-09,schizophrenia,ATP6V0B
456,rs4660761-<b>?</b>,5e-09,schizophrenia,DPH2
1091,rs3849046-<b>T</b>,5e-09,schizophrenia,ETF1
1087,rs1501357-<b>C</b>,5e-09,schizophrenia,HCN1
109,rs6500596-<b>G</b>,5e-09,schizophrenia,CORO7-PAM16
109,rs6500596-<b>G</b>,5e-09,schizophrenia,CORO7
2183,rs10196799-<b>?</b>,5e-09,schizophrenia,ZNF804A
2079,rs7267348-<b>?</b>,5e-09,schizophrenia,UNKNOWN
2548,rs4630889-<b>?</b>,5e-09,schizophrenia,UNKNOWN
1098,rs4330281-<b>C</b>,5e-09,schizophrenia,TBC1D5
491,rs419677-<b>?</b>,5e-09,schizophrenia,KRT18P42
491,rs419677-<b>?</b>,5e-09,schizophrenia,MAN2A1-DT
205,rs4479915-<b>G</b>,5e-09,schizophrenia,UNKNOWN
1054,rs2693698-<b>G</b>,5e-09,schizophrenia,BCL11B
1158,rs9665626-<b>G</b>,5e-09,schizophrenia,SUFU
488,rs7673823-<b>?</b>,5e-09,schizophrenia,GPM6A
890,rs72804786-<b>G</b>,5e-09,schizophrenia,LINC01470
889,rs113897692-<b>A</b>,5e-09,schizophrenia,LINC01470
2072,rs4632195-<b>?</b>,5e-09,schizophrenia,DCC
1628,rs301797-<b>A</b>,5e-09,schizophrenia,RERE-AS1
1628,rs301797-<b>A</b>,5e-09,schizophrenia,RERE
1089,rs16867576-<b>A</b>,5e-09,schizophrenia,MEF2C-AS1
2014,rs11903391-<b>?</b>,5e-09,schizophrenia,LINC01830
2037,rs4835691-<b>?</b>,5e-09,schizophrenia,CTNNA1
2037,rs4835691-<b>?</b>,5e-09,schizophrenia,HSPA9
2030,rs10935185-<b>?</b>,5e-09,schizophrenia,STAG1
2432,rs11147928-<b>G</b>,5e-09,schizophrenia,ENOX1
411,rs6938026-<b>?</b>,5e-09,schizophrenia,CUL9
121,rs17234749-<b>G</b>,5e-09,schizophrenia,Y_RNA
121,rs17234749-<b>G</b>,5e-09,schizophrenia,LINC02686
604,rs113568682-<b>A</b>,5e-09,schizophrenia,LINC01470
309,rs12325245-<b>?</b>,5e-09,schizophrenia,CNOT1
309,rs12325245-<b>?</b>,5e-09,schizophrenia,SLC38A7
2446,rs1137522-<b>C</b>,5e-09,schizophrenia,JRK
1232,rs12823424-<b>A</b>,5e-09,schizophrenia,CACNA1C
2028,rs832187-<b>?</b>,5e-09,schizophrenia,THOC7
2028,rs832187-<b>?</b>,5e-09,schizophrenia,C3orf49
2104,rs10735362-<b>?</b>,5e-09,schizophrenia,ANKS1B
49,rs62152284-<b>T</b>,6.000000000000001e-09,schizophrenia,AHCYP3
893,rs1837495-<b>G</b>,6.000000000000001e-09,schizophrenia,PLCL1
482,rs215412-<b>?</b>,6.000000000000001e-09,schizophrenia,RFPL4AP3
722,rs12541020-<b>T</b>,6.000000000000001e-09,schizophrenia,CSMD1
952,rs73191547-<b>T</b>,6.000000000000001e-09,schizophrenia,MSRA
951,rs6738529-<b>G</b>,6.000000000000001e-09,schizophrenia,EFHD1
951,rs6738529-<b>G</b>,6.000000000000001e-09,schizophrenia,GIGYF2
2185,rs7191183-<b>?</b>,6.000000000000001e-09,schizophrenia,GRIN2A
2088,rs72841270-<b>?</b>,6.000000000000001e-09,schizophrenia,UNKNOWN
1885,rs7527939-<b>C</b>,6.000000000000001e-09,schizophrenia,HHAT
2434,rs3742658-<b>C</b>,6.000000000000001e-09,schizophrenia,TTC7B
362,rs4243617-<b>?</b>,6.000000000000001e-09,schizophrenia,RTN1
2438,rs12475492-<b>G</b>,6.000000000000001e-09,schizophrenia,RN7SKP224
1927,rs12421382-<b>?</b>,6.000000000000001e-09,schizophrenia,C11orf87
2184,rs7801375-<b>?</b>,6.000000000000001e-09,schizophrenia,CAPZA1P4
658,rs2238044-<b>A</b>,6.000000000000001e-09,schizophrenia,CACNA1C
2512,rs9695226-<b>?</b>,6.000000000000001e-09,schizophrenia,UNKNOWN
660,rs2239063-<b>A</b>,6.000000000000001e-09,schizophrenia,UNKNOWN
2372,rs319227-<b>A</b>,6.000000000000001e-09,schizophrenia,PPP2R2B
576,rs78681500-<b>C</b>,6.000000000000001e-09,schizophrenia,SPATS2L
139,rs619091-<b>T</b>,6.000000000000001e-09,schizophrenia,LINC02730
402,rs72829007-<b>?</b>,6.000000000000001e-09,schizophrenia,RN7SL591P
402,rs72829007-<b>?</b>,6.000000000000001e-09,schizophrenia,LINC02621
2440,rs13017997-<b>T</b>,6.000000000000001e-09,schizophrenia,LINC01876
497,rs13019859-<b>?</b>,7.000000000000001e-09,schizophrenia,UNKNOWN
335,rs9420-<b>?</b>,7.000000000000001e-09,schizophrenia,SELENOH
2500,rs12485034-<b>?</b>,7.000000000000001e-09,schizophrenia,UNKNOWN
1714,rs1106568-<b>G</b>,7.000000000000001e-09,schizophrenia,GPM6A
1468,rs73388146-<b>G</b>,7.000000000000001e-09,schizophrenia,CMAHP
1865,rs2373000-<b>T</b>,7.000000000000001e-09,schizophrenia,QPCT
2186,rs7010876-<b>?</b>,7.000000000000001e-09,schizophrenia,MMP16
2046,rs144478515-<b>?</b>,7.000000000000001e-09,schizophrenia,ZBED9
2053,rs2016358-<b>?</b>,7.000000000000001e-09,schizophrenia,SNAP91
433,rs946106-<b>?</b>,7.000000000000001e-09,schizophrenia,AGBL4
433,rs946106-<b>?</b>,7.000000000000001e-09,schizophrenia,AGBL4-IT1
628,rs7789569-<b>T</b>,7.000000000000001e-09,schizophrenia,UNKNOWN
622,rs117074560-<b>T</b>,7.000000000000001e-09,schizophrenia,FUT9
622,rs117074560-<b>T</b>,7.000000000000001e-09,schizophrenia,KRT18P50
2013,rs12691548-<b>?</b>,7.000000000000001e-09,schizophrenia,AKT3
1386,rs2018916-<b>C</b>,7.000000000000001e-09,schizophrenia,LINC02165
2423,rs303739-<b>C</b>,7.000000000000001e-09,schizophrenia,CDCA4P1
388,rs78895722-<b>?</b>,7.000000000000001e-09,schizophrenia,RPL10AP3
1015,rs3768644-<b>G</b>,7.000000000000001e-09,schizophrenia,CYP26B1
532,rs4365348-<b>?</b>,7.000000000000001e-09,schizophrenia,ATPAF2
532,rs4365348-<b>?</b>,7.000000000000001e-09,schizophrenia,DRC3
360,rs75365967-<b>?</b>,8e-09,schizophrenia,LINC02326
675,rs7288455-<b>A</b>,8e-09,schizophrenia,CACNA1I
675,rs7288455-<b>A</b>,8e-09,schizophrenia,RPS19BP1
931,rs7267348-<b>C</b>,8e-09,schizophrenia,UNKNOWN
526,rs28419375-<b>?</b>,8e-09,schizophrenia,LINC02264
685,rs12093576-<b>T</b>,8e-09,schizophrenia,SDCCAG8
685,rs12093576-<b>T</b>,8e-09,schizophrenia,AKT3
538,rs73477270-<b>?</b>,8e-09,schizophrenia,TCF4
894,rs60005721-<b>A</b>,8e-09,schizophrenia,CMAHP
581,rs7757969-<b>C</b>,8e-09,schizophrenia,FYN
406,rs10515678-<b>?</b>,8e-09,schizophrenia,LINC01470
311,rs4908972-<b>?</b>,8e-09,schizophrenia,TBC1D5
735,rs75575209-<b>T</b>,8e-09,schizophrenia,VRK2
895,rs11658257-<b>G</b>,8e-09,schizophrenia,GID4
365,rs1676062-<b>?</b>,8e-09,schizophrenia,MTCYBP27
1020,rs6704641-<b>A</b>,8e-09,schizophrenia,SATB2
52,rs4388249-<b>T</b>,8e-09,schizophrenia,MAN2A1
333,rs11038391-<b>?</b>,8e-09,schizophrenia,LINC02696
333,rs11038391-<b>?</b>,8e-09,schizophrenia,SYT13
745,rs12622667-<b>C</b>,8e-09,schizophrenia,EPC2
2187,rs139425113-<b>?</b>,8e-09,schizophrenia,CSMD1
2024,rs747462-<b>?</b>,8e-09,schizophrenia,NGEF
2436,rs200450-<b>G</b>,8e-09,schizophrenia,DNAJC11
1956,rs1023500-<b>?</b>,8e-09,schizophrenia,CENPM
2095,rs3858402-<b>?</b>,9.000000000000001e-09,schizophrenia,LINC02715
2460,rs2143757-<b>G</b>,9.000000000000001e-09,schizophrenia,LINC01725
2437,rs7584565-<b>T</b>,9.000000000000001e-09,schizophrenia,PRKD3
1495,rs7801375-<b>G</b>,9.000000000000001e-09,schizophrenia,CAPZA1P4
2083,rs1023497-<b>?</b>,9.000000000000001e-09,schizophrenia,CENPM
1688,rs4711350-<b>G</b>,9.000000000000001e-09,schizophrenia,LEMD2
82,rs2381759-<b>T</b>,9.000000000000001e-09,schizophrenia,UNKNOWN
861,rs783540-<b>G</b>,9.000000000000001e-09,schizophrenia,UNKNOWN
768,rs10894308-<b>G</b>,9.000000000000001e-09,schizophrenia,RN7SL167P
2563,rs2789605-<b>?</b>,9.000000000000001e-09,schizophrenia,UNKNOWN
422,rs79527984-<b>?</b>,9.000000000000001e-09,schizophrenia,CALN1
794,rs13266463-<b>G</b>,9.000000000000001e-09,schizophrenia,TSNARE1
507,rs59721702-<b>?</b>,9.000000000000001e-09,schizophrenia,OSBPL10
1866,rs6878284-<b>C</b>,9.000000000000001e-09,schizophrenia,SLCO6A1
2008,rs1023330-<b>?</b>,9.000000000000001e-09,schizophrenia,TLCD4-RWDD3
2008,rs1023330-<b>?</b>,9.000000000000001e-09,schizophrenia,TLCD4
512,rs2236989-<b>?</b>,9.000000000000001e-09,schizophrenia,CACNA2D2
494,rs11958187-<b>?</b>,9.000000000000001e-09,schizophrenia,PPP2R2B
897,rs10803138-<b>G</b>,1e-08,schizophrenia,UNKNOWN
446,rs59159185-<b>?</b>,1e-08,schizophrenia,VRK2
2064,rs74804370-<b>?</b>,1e-08,schizophrenia,UNKNOWN
443,rs6703335-<b>?</b>,1e-08,schizophrenia,SDCCAG8
1960,rs9428966-<b>?</b>,1e-08,schizophrenia,AKT3
1961,rs13011472-<b>?</b>,1e-08,schizophrenia,ACTG1P22
426,rs1357318-<b>?</b>,1e-08,schizophrenia,SGCE
454,rs13004237-<b>?</b>,1e-08,schizophrenia,UNKNOWN
468,rs11986274-<b>?</b>,1e-08,schizophrenia,FGFR1
468,rs11986274-<b>?</b>,1e-08,schizophrenia,LETM2
1453,rs62378245-<b>C</b>,1e-08,schizophrenia,MEF2C-AS1
573,rs359260-<b>G</b>,1e-08,schizophrenia,MIR4432HG
147,rs10940346-<b>G</b>,1e-08,schizophrenia,EMB
312,rs1106568-<b>?</b>,1e-08,schizophrenia,GPM6A
475,rs11665111-<b>?</b>,1e-08,schizophrenia,KCNG2
1026,rs832187-<b>C</b>,1e-08,schizophrenia,THOC7
1026,rs832187-<b>C</b>,1e-08,schizophrenia,C3orf49
1028,rs10503253-<b>A</b>,1e-08,schizophrenia,CSMD1
1558,rs12446487-<b>C</b>,1e-08,schizophrenia,CNOT1
1558,rs12446487-<b>C</b>,1e-08,schizophrenia,SLC38A7
2368,rs10178509-<b>T</b>,1e-08,schizophrenia,AGAP1
110,rs7010876-<b>T</b>,1e-08,schizophrenia,MMP16
1415,rs55833108-<b>T</b>,1e-08,schizophrenia,CNNM2
2454,rs9595066-<b>T</b>,1e-08,schizophrenia,LINC00390
2454,rs9595066-<b>T</b>,1e-08,schizophrenia,SMIM2-AS1
344,rs2917568-<b>?</b>,1e-08,schizophrenia,OPCML
919,rs72843506-<b>A</b>,1e-08,schizophrenia,SPECC1
2439,rs13416544-<b>G</b>,1e-08,schizophrenia,TMEM17
2439,rs13416544-<b>G</b>,1e-08,schizophrenia,RN7SL18P
935,rs17002069-<b>C</b>,1e-08,schizophrenia,MRTFA
935,rs17002069-<b>C</b>,1e-08,schizophrenia,GAPDHP37
954,rs17439799-<b>C</b>,1e-08,schizophrenia,IMMP2L
954,rs17439799-<b>C</b>,1e-08,schizophrenia,LRRN3
2427,rs11226509-<b>C</b>,1e-08,schizophrenia,CASP12
387,rs73229090-<b>?</b>,1e-08,schizophrenia,GULOP
602,rs7733403-<b>A</b>,1e-08,schizophrenia,PCDHA1
602,rs7733403-<b>A</b>,1e-08,schizophrenia,VTRNA1-3
600,rs3756766-<b>A</b>,1e-08,schizophrenia,FAM53C
600,rs3756766-<b>A</b>,1e-08,schizophrenia,CDC25C
785,rs13259407-<b>C</b>,1e-08,schizophrenia,PSD3
787,rs11778040-<b>C</b>,1e-08,schizophrenia,GULOP
2480,rs2810117-<b>?</b>,1e-08,schizophrenia,UNKNOWN
1988,rs73388146-<b>?</b>,1e-08,schizophrenia,CMAHP
630,rs11766321-<b>T</b>,1e-08,schizophrenia,DGKI
2393,rs28473013-<b>T</b>,1e-08,schizophrenia,RNF111
2393,rs28473013-<b>T</b>,1e-08,schizophrenia,SLTM
2374,rs9386072-<b>A</b>,1e-08,schizophrenia,UTRN
1031,rs7819570-<b>T</b>,1e-08,schizophrenia,UNKNOWN
1974,rs34312605-<b>?</b>,1e-08,schizophrenia,FXR1
2371,rs6848123-<b>A</b>,1e-08,schizophrenia,LINC01088
2371,rs6848123-<b>A</b>,1e-08,schizophrenia,NAA11
313,rs62378245-<b>?</b>,1e-08,schizophrenia,MEF2C-AS1
343,rs10791099-<b>?</b>,1e-08,schizophrenia,LINC02551
519,rs62244881-<b>?</b>,1e-08,schizophrenia,FOXP1
667,rs7143919-<b>A</b>,1e-08,schizophrenia,UNKNOWN
635,rs9695226-<b>A</b>,1e-08,schizophrenia,UNKNOWN
2538,rs2581109-<b>?</b>,1e-08,schizophrenia,UNKNOWN
2189,rs12148337-<b>?</b>,1e-08,schizophrenia,UNKNOWN
2457,rs62065467-<b>C</b>,1e-08,schizophrenia,ZNF207
2457,rs62065467-<b>C</b>,1e-08,schizophrenia,PSMD11
2191,rs1120004-<b>?</b>,1e-08,schizophrenia,SOX5
699,rs832187-<b>T</b>,1e-08,schizophrenia,THOC7
699,rs832187-<b>T</b>,1e-08,schizophrenia,C3orf49
1833,rs13194053-<b>T</b>,1e-08,schizophrenia,MIR3143
1833,rs13194053-<b>T</b>,1e-08,schizophrenia,RPL10P2
2190,rs215411-<b>?</b>,1e-08,schizophrenia,RFPL4AP3
1847,rs10489202-<b>A</b>,1e-08,schizophrenia,UNKNOWN
541,rs337718-<b>?</b>,1e-08,schizophrenia,UNKNOWN
645,rs7267348-<b>T</b>,1e-08,schizophrenia,UNKNOWN
534,rs61257528-<b>?</b>,1e-08,schizophrenia,SPECC1
496,rs1483245-<b>?</b>,1e-08,schizophrenia,BCL11A
2188,rs4650963-<b>?</b>,1e-08,schizophrenia,LINC01645
2188,rs4650963-<b>?</b>,1e-08,schizophrenia,BRINP2
1867,rs4687552-<b>T</b>,1e-08,schizophrenia,ITIH3
562,rs78885399-<b>C</b>,1e-08,schizophrenia,SPPL3
562,rs78885399-<b>C</b>,1e-08,schizophrenia,ACADS
1868,rs12991836-<b>C</b>,1e-08,schizophrenia,ZEB2
1052,rs2068012-<b>C</b>,1e-08,schizophrenia,PRKD1
1663,rs385492-<b>T</b>,1e-08,schizophrenia,ZFP57
1663,rs385492-<b>T</b>,1e-08,schizophrenia,ZDHHC20P1
314,rs7235891-<b>?</b>,1e-08,schizophrenia,LINC01415
314,rs7235891-<b>?</b>,1e-08,schizophrenia,LINC01416
2526,rs4762557-<b>?</b>,1e-08,schizophrenia,UNKNOWN
1729,rs112973353-<b>T</b>,1e-08,schizophrenia,ASPG
1729,rs112973353-<b>T</b>,1e-08,schizophrenia,TDRD9
548,rs12104272-<b>?</b>,1e-08,schizophrenia,UNKNOWN
2532,rs10803138-<b>?</b>,1e-08,schizophrenia,UNKNOWN
1870,rs4801131-<b>C</b>,1e-08,schizophrenia,LINC01929
2422,rs156089-<b>C</b>,2e-08,schizophrenia,CYSTM1
2422,rs156089-<b>C</b>,2e-08,schizophrenia,IGIP
318,rs6990941-<b>?</b>,2e-08,schizophrenia,UNKNOWN
394,rs4734654-<b>?</b>,2e-08,schizophrenia,KLF10
394,rs4734654-<b>?</b>,2e-08,schizophrenia,ADI1P2
127,rs12421382-<b>C</b>,2e-08,schizophrenia,C11orf87
2108,rs34542576-<b>?</b>,2e-08,schizophrenia,PCNX1
173,rs2980436-<b>A</b>,2e-08,schizophrenia,FAM86B3P
2429,rs11169294-<b>G</b>,2e-08,schizophrenia,CERS5
2429,rs11169294-<b>G</b>,2e-08,schizophrenia,LIMA1
2455,rs7494766-<b>G</b>,2e-08,schizophrenia,NIN
520,rs3849490-<b>?</b>,2e-08,schizophrenia,ROBO2
2453,rs11104379-<b>G</b>,2e-08,schizophrenia,RPL23AP68
319,rs7299943-<b>?</b>,2e-08,schizophrenia,PITPNM2
349,rs10777342-<b>?</b>,2e-08,schizophrenia,LINC02404
2445,rs890235-<b>G</b>,2e-08,schizophrenia,LINC01289
2445,rs890235-<b>G</b>,2e-08,schizophrenia,LINC01414
2426,rs4146645-<b>A</b>,2e-08,schizophrenia,PCDH15
2444,rs6467912-<b>C</b>,2e-08,schizophrenia,PCLO
2049,rs114187207-<b>?</b>,2e-08,schizophrenia,OR5V1
608,rs6903570-<b>C</b>,2e-08,schizophrenia,EYS
2029,rs7636341-<b>?</b>,2e-08,schizophrenia,ROBO2
607,rs11740474-<b>T</b>,2e-08,schizophrenia,GALNT10
367,rs2957582-<b>?</b>,2e-08,schizophrenia,FRMD5
371,rs783540-<b>?</b>,2e-08,schizophrenia,UNKNOWN
2433,rs7322886-<b>T</b>,2e-08,schizophrenia,RCBTB1
2433,rs7322886-<b>T</b>,2e-08,schizophrenia,ARL11
2442,rs1132998-<b>C</b>,2e-08,schizophrenia,GSX2
385,rs2634447-<b>?</b>,2e-08,schizophrenia,PSD3
317,rs7927176-<b>?</b>,2e-08,schizophrenia,GRAMD1B
1872,rs14403-<b>C</b>,2e-08,schizophrenia,AKT3
2194,rs4240748-<b>?</b>,2e-08,schizophrenia,LINC02404
2195,rs56282503-<b>?</b>,2e-08,schizophrenia,PAK6
2279,rs2764766-<b>C</b>,2e-08,schizophrenia,CCDC192
1873,rs11532322-<b>A</b>,2e-08,schizophrenia,C12orf65
1902,rs7914558-<b>G</b>,2e-08,schizophrenia,CNNM2
1603,rs12360997-<b>G</b>,2e-08,schizophrenia,Y_RNA
479,rs533123-<b>?</b>,2e-08,schizophrenia,OPRD1
1622,rs2945232-<b>C</b>,2e-08,schizophrenia,ALG1L13P
1622,rs2945232-<b>C</b>,2e-08,schizophrenia,FAM86B3P
2092,rs61867294-<b>?</b>,2e-08,schizophrenia,SORCS3
176,rs111782145-<b>C</b>,2e-08,schizophrenia,GTF2H4
176,rs111782145-<b>C</b>,2e-08,schizophrenia,DDR1
469,rs2612614-<b>?</b>,2e-08,schizophrenia,MIR124-2HG
2193,rs35604463-<b>?</b>,2e-08,schizophrenia,BCL11B
2192,rs146678232-<b>?</b>,2e-08,schizophrenia,GSDME
1986,rs13176930-<b>?</b>,2e-08,schizophrenia,LINC01470
419,rs7811417-<b>?</b>,2e-08,schizophrenia,SP4
1978,rs3740393-<b>?</b>,2e-08,schizophrenia,BORCS7-ASMT
1978,rs3740393-<b>?</b>,2e-08,schizophrenia,AS3MT
2379,rs6563592-<b>T</b>,2e-08,schizophrenia,LINC00571
2376,rs492430-<b>T</b>,2e-08,schizophrenia,POP7
2376,rs492430-<b>T</b>,2e-08,schizophrenia,EPO
2370,rs2911914-<b>T</b>,2e-08,schizophrenia,Y_RNA
2370,rs2911914-<b>T</b>,2e-08,schizophrenia,PGM2
547,rs3810449-<b>?</b>,2e-08,schizophrenia,THAP8
1449,rs62200787-<b>T</b>,2e-08,schizophrenia,ZNF804A
1968,rs6704768-<b>?</b>,2e-08,schizophrenia,GIGYF2
1460,rs72986630-<b>T</b>,2e-08,schizophrenia,ZNF823
1467,rs73229090-<b>C</b>,2e-08,schizophrenia,GULOP
133,rs28607014-<b>C</b>,2e-08,schizophrenia,NOS1
2063,rs13236223-<b>?</b>,2e-08,schizophrenia,BRAF
2063,rs13236223-<b>?</b>,2e-08,schizophrenia,CCT4P1
401,rs61847303-<b>?</b>,2e-08,schizophrenia,PRKG1
206,rs11534004-<b>G</b>,2e-08,schizophrenia,PPP1R3A
2341,rs10860964-<b>T</b>,2e-08,schizophrenia,C12orf42
929,rs56873913-<b>T</b>,2e-08,schizophrenia,NOSIP
929,rs56873913-<b>T</b>,2e-08,schizophrenia,PRRG2
17,rs1191551-<b>T</b>,2e-08,schizophrenia,RNU11-5P
17,rs1191551-<b>T</b>,2e-08,schizophrenia,PRKD1
620,rs1339227-<b>T</b>,2e-08,schizophrenia,RIMS1
682,rs17659437-<b>T</b>,2e-08,schizophrenia,BRINP2
682,rs17659437-<b>T</b>,2e-08,schizophrenia,LINC01645
790,rs7012816-<b>A</b>,2e-08,schizophrenia,PRDM14
51,rs35065479-<b>A</b>,2e-08,schizophrenia,MSI2
653,rs484201-<b>T</b>,2e-08,schizophrenia,MACROD1
661,rs439639-<b>A</b>,2e-08,schizophrenia,TMTC1
663,rs10860960-<b>T</b>,2e-08,schizophrenia,C12orf42
1078,rs12845396-<b>T</b>,2e-08,schizophrenia,NLGN4X
665,rs10149407-<b>T</b>,2e-08,schizophrenia,PRKD1
764,rs4987094-<b>A</b>,2e-08,schizophrenia,TTC12
960,rs11027827-<b>C</b>,2e-08,schizophrenia,LINC02686
958,rs13261481-<b>T</b>,2e-08,schizophrenia,UNKNOWN
2477,rs1879250-<b>?</b>,2e-08,schizophrenia,UNKNOWN
762,rs1864774-<b>C</b>,2e-08,schizophrenia,DLG2
31,rs56775891-<b>T</b>,2e-08,schizophrenia,KCNG2
31,rs56775891-<b>T</b>,2e-08,schizophrenia,CTDP1
686,rs2339519-<b>A</b>,2e-08,schizophrenia,LINC01830
652,rs7951870-<b>T</b>,2e-08,schizophrenia,UNKNOWN
2540,rs76432012-<b>?</b>,2e-08,schizophrenia,UNKNOWN
2459,rs281377-<b>C</b>,2e-08,schizophrenia,FUT2
808,rs1353545-<b>C</b>,2e-08,schizophrenia,FHIT
650,rs61867294-<b>A</b>,2e-08,schizophrenia,SORCS3
717,rs7807720-<b>A</b>,2e-08,schizophrenia,UNKNOWN
1065,rs12325245-<b>T</b>,2e-08,schizophrenia,CNOT1
1065,rs12325245-<b>T</b>,2e-08,schizophrenia,SLC38A7
1066,rs8044995-<b>A</b>,2e-08,schizophrenia,NFATC3
2506,rs1376608-<b>?</b>,3.0000000000000004e-08,schizophrenia,UNKNOWN
1181,rs1023500-<b>T</b>,3.0000000000000004e-08,schizophrenia,CENPM
714,rs11982256-<b>T</b>,3.0000000000000004e-08,schizophrenia,DMTF1
1879,rs1538774-<b>G</b>,3.0000000000000004e-08,schizophrenia,SDCCAG8
577,rs2073499-<b>G</b>,3.0000000000000004e-08,schizophrenia,RASSF1
408,rs76262184-<b>?</b>,3.0000000000000004e-08,schizophrenia,GRIA1
1918,rs2192932-<b>?</b>,3.0000000000000004e-08,schizophrenia,LINC01004
2479,rs60680162-<b>?</b>,3.0000000000000004e-08,schizophrenia,UNKNOWN
1903,rs11191580-<b>T</b>,3.0000000000000004e-08,schizophrenia,NT5C2
2501,rs134873-<b>?</b>,3.0000000000000004e-08,schizophrenia,TCF20
423,rs323169-<b>?</b>,3.0000000000000004e-08,schizophrenia,MAGI2
668,rs10150710-<b>T</b>,3.0000000000000004e-08,schizophrenia,BCL11B
128,rs758129-<b>G</b>,3.0000000000000004e-08,schizophrenia,POLG-DT
128,rs758129-<b>G</b>,3.0000000000000004e-08,schizophrenia,MIR9-3HG
2508,rs876983-<b>?</b>,3.0000000000000004e-08,schizophrenia,UNKNOWN
1907,rs12966547-<b>G</b>,3.0000000000000004e-08,schizophrenia,LINC01929
2018,rs4619651-<b>?</b>,3.0000000000000004e-08,schizophrenia,CNNM4
2018,rs4619651-<b>?</b>,3.0000000000000004e-08,schizophrenia,LMAN2L
2503,rs6943762-<b>?</b>,3.0000000000000004e-08,schizophrenia,UNKNOWN
2012,rs72769124-<b>?</b>,3.0000000000000004e-08,schizophrenia,UNKNOWN
965,rs6716963-<b>A</b>,3.0000000000000004e-08,schizophrenia,NAB1
2373,rs12202107-<b>T</b>,3.0000000000000004e-08,schizophrenia,SAMD3
2375,rs2106747-<b>A</b>,3.0000000000000004e-08,schizophrenia,RNA5SP228
2375,rs2106747-<b>A</b>,3.0000000000000004e-08,schizophrenia,STK31
684,rs10803138-<b>A</b>,3.0000000000000004e-08,schizophrenia,UNKNOWN
1920,rs7819570-<b>?</b>,3.0000000000000004e-08,schizophrenia,UNKNOWN
506,rs6797774-<b>?</b>,3.0000000000000004e-08,schizophrenia,U3
2378,rs7301566-<b>T</b>,3.0000000000000004e-08,schizophrenia,LIMA1
16,rs10510653-<b>A</b>,3.0000000000000004e-08,schizophrenia,OSBPL10
690,rs4619651-<b>A</b>,3.0000000000000004e-08,schizophrenia,CNNM4
690,rs4619651-<b>A</b>,3.0000000000000004e-08,schizophrenia,LMAN2L
700,rs4630889-<b>T</b>,3.0000000000000004e-08,schizophrenia,UNKNOWN
